date,id_station,id_parameter,unit,count,mean,std,min,Q1,Q2,Q3,max
2010-01-31,LVI,SO2,1,704.0,3.569602272727273,7.979934784119485,0.0,1.0,2.0,4.0,105.0
2010-01-31,MER,CO,15,655.0,1.5178625954198477,0.8341534261019709,0.5,1.0,1.3,1.8,6.1
2010-01-31,MER,NO,1,683.0,53.33089311859444,63.50291768477857,0.0,12.0,32.0,68.0,434.0
2010-01-31,MER,NO2,1,683.0,40.78770131771596,17.881338127016978,9.0,29.0,37.0,49.0,143.0
2010-01-31,MER,NOX,1,683.0,94.01317715959004,70.93734463758167,13.0,47.0,73.0,118.5,484.0
2010-01-31,MER,O3,1,680.0,15.769117647058824,21.56364527284292,0.0,2.0,5.0,23.0,139.0
2010-01-31,MER,PM10,2,663.0,40.85671191553544,24.766077436467143,1.0,22.0,37.0,54.0,147.0
2010-01-31,MER,PM2.5,2,641.0,24.19188767550702,14.67211416556468,1.0,13.0,21.0,33.0,101.0
2010-01-31,MER,SO2,1,683.0,6.755490483162518,11.134091192035516,0.0,2.0,4.0,6.0,128.0
2010-01-31,MON,O3,1,680.0,25.96764705882353,22.26554456044888,0.0,7.0,21.0,40.25,127.0
2010-01-31,PED,CO,15,703.0,0.6506401137980088,0.4708560609427066,0.0,0.3,0.5,0.9,2.6
2010-01-31,PED,NO,1,700.0,16.56142857142857,25.16237280363952,0.0,1.0,6.0,22.0,158.0
2010-01-31,PED,NO2,1,700.0,29.818571428571428,14.124419472108402,6.0,19.0,29.0,36.0,89.0
2010-01-31,PED,NOX,1,700.0,46.252857142857145,32.720392688514295,6.0,21.0,38.0,62.0,209.0
2010-01-31,PED,O3,1,702.0,20.628205128205128,22.66628084846238,0.0,2.0,14.0,30.0,130.0
2010-01-31,PED,PM10,2,662.0,29.273413897280967,19.604929760899218,1.0,15.0,26.0,40.0,158.0
2010-01-31,PED,SO2,1,703.0,3.4054054054054053,4.900645265301678,0.0,1.0,2.0,4.0,48.0
2010-01-31,PER,PM2.5,2,695.0,24.52661870503597,18.81317436310662,1.0,13.0,21.0,32.0,225.0
2010-01-31,PLA,O3,1,707.0,17.335219236209337,21.9858811584402,0.0,2.0,8.0,25.0,134.0
2010-01-31,PLA,SO2,1,707.0,6.476661951909477,6.389656669524601,2.0,3.0,4.0,7.0,50.0
2010-01-31,SAG,CO,15,678.0,1.2874631268436576,0.8268959563134053,0.4,0.8,1.1,1.5,7.5
2010-01-31,SAG,NO,1,678.0,32.00294985250738,44.65148140741088,1.0,6.25,14.0,40.0,348.0
2010-01-31,SAG,NO2,1,678.0,27.91592920353982,11.594210339189445,5.0,20.0,26.5,34.0,67.0
2010-01-31,SAG,NOX,1,678.0,59.876106194690266,50.08249609343394,7.0,30.0,44.0,72.0,405.0
2010-01-31,SAG,O3,1,678.0,18.62979351032448,20.653649366593427,1.0,3.0,11.0,26.0,120.0
2010-01-31,SAG,PM10,2,657.0,47.64992389649924,32.14632803671672,1.0,22.0,42.0,65.0,218.0
2010-01-31,SAG,PM2.5,2,660.0,23.786363636363635,15.28906485719376,1.0,13.0,21.0,31.0,148.0
2010-01-31,SAG,SO2,1,678.0,6.017699115044247,17.025473468890947,0.0,0.0,3.0,4.0,242.0
2010-01-31,SJA,PM2.5,2,673.0,23.166419019316493,14.806256775000785,1.0,13.0,21.0,30.0,119.0
2010-01-31,SUR,CO,15,680.0,1.1360294117647065,0.9061134855073136,0.0,0.6,0.9,1.5,6.4
2010-01-31,SUR,NO,1,700.0,30.372857142857143,42.26190031059007,0.0,4.0,12.0,40.0,273.0
2010-01-31,SUR,NO2,1,700.0,31.888571428571428,15.474160869288664,3.0,21.0,31.0,39.0,110.0
2010-01-31,SUR,NOX,1,700.0,62.23714285714286,49.58125993360105,6.0,27.0,50.0,82.0,309.0
2010-01-31,SUR,O3,1,700.0,20.572857142857146,24.095283087679515,0.0,2.0,10.0,32.0,132.0
2010-01-31,SUR,PM10,2,671.0,37.88375558867362,26.224488183782857,1.0,20.0,34.0,51.0,273.0
2010-01-31,SUR,SO2,1,700.0,2.8,7.007251506595196,0.0,0.0,0.0,2.0,57.0
2010-01-31,TAC,CO,15,692.0,1.0128612716763,0.8725725349636618,0.0,0.4,0.7,1.4,4.8
2010-01-31,TAC,NO,1,692.0,30.42341040462428,45.39112768887225,0.0,4.0,10.0,38.25,312.0
2010-01-31,TAC,NO2,1,692.0,35.592485549132945,19.990630255445197,4.0,23.0,32.0,43.0,130.0
2010-01-31,TAC,NOX,1,692.0,65.97832369942196,56.01765633965754,4.0,28.0,49.0,85.0,351.0
2010-01-31,TAC,O3,1,684.0,22.100877192982452,24.102393806913657,0.0,5.0,13.0,30.0,145.0
2010-01-31,TAC,SO2,1,692.0,8.096820809248555,13.650300326195811,1.0,2.0,3.0,7.0,119.0
2010-01-31,TAH,O3,1,646.0,25.4969040247678,19.951860429196152,0.0,10.0,20.0,36.75,112.0
2010-01-31,TAH,PM10,2,657.0,34.147640791476405,23.480034293666343,1.0,16.0,30.0,48.0,140.0
2010-01-31,TAH,SO2,1,693.0,1.9408369408369408,2.5784159436147247,0.0,1.0,1.0,2.0,31.0
2010-01-31,TAX,CO,15,700.0,1.631857142857141,1.0086036082148355,0.1,0.9,1.5,2.1,6.4
2010-01-31,TAX,NO,1,677.0,50.15657311669128,58.09571019678375,0.0,10.0,30.0,69.0,374.0
2010-01-31,TAX,NO2,1,677.0,33.18020679468242,15.09927771554444,3.0,23.0,31.0,40.0,113.0
2010-01-31,TAX,NOX,1,677.0,83.07237813884785,62.82288729322144,3.0,38.0,67.0,112.0,403.0
2010-01-31,TAX,O3,1,700.0,17.212857142857143,20.59067959649844,0.0,2.0,7.0,28.0,124.0
2010-01-31,TAX,PM10,2,656.0,39.70121951219512,24.05843519130101,1.0,22.0,36.5,53.0,189.0
2010-01-31,TAX,SO2,1,680.0,3.6867647058823527,7.717802697128314,0.0,0.0,1.0,3.0,73.0
2010-01-31,TLA,CO,15,703.0,1.0018492176386902,0.7217496113257124,0.1,0.5,0.8,1.4,5.1
2010-01-31,TLA,NO,1,649.0,43.96764252696456,52.36641323719626,0.0,12.0,25.0,56.0,362.0
2010-01-31,TLA,NO2,1,649.0,37.4175654853621,19.893382474738036,5.0,26.0,34.0,46.0,161.0
2010-01-31,TLA,NOX,1,649.0,81.231124807396,61.89818067190759,8.0,40.0,66.0,104.0,424.0
2010-01-31,TLA,O3,1,637.0,20.111459968602823,23.534835893587537,1.0,3.0,10.0,30.0,128.0
2010-01-31,TLA,PM10,2,697.0,47.16212338593974,31.85168304385396,1.0,23.0,41.0,66.0,209.0
2010-01-31,TLA,PM2.5,2,701.0,26.17261055634808,17.792860290524324,1.0,13.0,23.0,35.0,154.0
2010-01-31,TLA,SO2,1,703.0,11.806543385490754,17.89784600436734,1.0,3.0,6.0,11.0,183.0
2010-01-31,TLI,CO,15,673.0,1.0408618127786031,0.7209929290863688,0.0,0.6,0.9,1.3,4.4
2010-01-31,TLI,NO,1,587.0,30.58603066439523,51.97285990110035,0.0,2.0,9.0,36.5,433.0
2010-01-31,TLI,NO2,1,587.0,30.17376490630324,15.840839989382191,6.0,20.0,28.0,37.0,104.0
2010-01-31,TLI,NOX,1,587.0,60.37819420783646,61.71809245808956,6.0,23.0,38.0,71.5,484.0
2010-01-31,TLI,PM10,2,638.0,52.7742946708464,38.526866778748605,1.0,23.0,43.5,73.0,283.0
2010-01-31,TLI,SO2,1,673.0,11.297176820208024,23.499194661857896,0.0,2.0,3.0,8.0,260.0
2010-01-31,TPN,O3,1,351.0,32.94301994301994,21.859215800785613,0.0,18.0,29.0,44.0,114.0
2010-01-31,UIZ,CO,15,699.0,1.201716738197425,0.915011656895828,0.1,0.6,0.9,1.5,6.9
2010-01-31,UIZ,NO,1,699.0,27.79828326180257,45.61855297214152,0.0,4.0,9.0,31.0,389.0
2010-01-31,UIZ,NO2,1,699.0,30.42346208869814,16.184849791761124,2.0,19.0,28.0,39.0,116.0
2010-01-31,UIZ,NOX,1,699.0,58.16881258941345,54.02856720904723,7.0,24.0,40.0,72.0,445.0
2010-01-31,UIZ,O3,1,699.0,20.73533619456366,23.351494960702283,0.0,2.0,12.0,31.0,127.0
2010-01-31,UIZ,PM2.5,2,676.0,21.368343195266277,12.364302412179198,1.0,13.0,20.0,28.0,92.0
2010-01-31,UIZ,SO2,1,698.0,8.177650429799426,8.399799422581774,4.0,5.0,6.0,8.0,114.0
2010-01-31,VAL,CO,15,340.0,1.062941176470588,0.7778137783658252,0.0,0.5,0.9,1.4,5.5
2010-01-31,VAL,SO2,1,667.0,8.256371814092953,17.458709779845176,0.0,1.0,3.0,6.0,174.0
2010-01-31,VIF,CO,15,678.0,0.8812684365781706,0.502096210251978,0.1,0.6,0.7,1.1,3.4
2010-01-31,VIF,NO,1,699.0,21.397711015736768,33.38177694494898,0.0,1.0,6.0,29.0,198.0
2010-01-31,VIF,NO2,1,699.0,25.23032904148784,14.090574641621894,3.0,15.0,23.0,33.0,99.0
2010-01-31,VIF,NOX,1,699.0,46.40200286123033,41.8730862744674,1.0,16.5,32.0,64.0,249.0
2010-01-31,VIF,PM10,2,684.0,61.51315789473684,43.54054137422936,2.0,28.0,52.0,86.0,276.0
2010-01-31,VIF,SO2,1,676.0,10.927514792899409,26.200973920966884,0.0,0.0,4.0,9.0,310.0
2010-01-31,XAL,CO,15,684.0,1.405701754385965,1.0475431503133943,0.2,0.7,1.1,1.6,7.3
2010-01-31,XAL,NO,1,683.0,60.93997071742314,82.1264362015441,1.0,10.0,29.0,73.5,548.0
2010-01-31,XAL,NO2,1,683.0,36.80380673499268,16.50689494712554,8.0,26.0,34.0,45.0,131.0
2010-01-31,XAL,NOX,1,683.0,97.68081991215227,90.82036036809852,11.0,39.0,68.0,122.0,615.0
2010-01-31,XAL,O3,1,602.0,16.232558139534884,21.13640989844578,0.0,1.0,6.0,25.0,112.0
2010-01-31,XAL,PM10,2,684.0,86.70175438596492,61.684683927035245,5.0,40.0,73.0,114.25,365.0
2010-01-31,XAL,SO2,1,683.0,5.626647144948755,8.919137799910125,0.0,1.0,3.0,6.0,130.0
2010-02-28,ACO,O3,1,597.0,24.559463986599663,22.302117869322963,0.0,6.0,19.0,39.0,124.0
2010-02-28,ACO,PM2.5,2,509.0,14.396856581532417,7.709263648687935,1.0,8.0,13.0,19.0,50.0
2010-02-28,ACO,SO2,1,594.0,4.0,5.402516433212383,0.0,2.0,2.0,4.0,55.0
2010-02-28,ARA,SO2,1,568.0,1.97887323943662,6.81886408209952,0.0,0.0,0.0,1.0,64.0
2010-02-28,ATI,NO,1,622.0,23.461414790996784,31.837312242291727,0.0,4.0,9.0,29.75,219.0
2010-02-28,ATI,NO2,1,622.0,26.318327974276528,15.402436757519682,4.0,15.0,25.0,34.0,122.0
2010-02-28,ATI,NOX,1,622.0,49.70096463022508,41.049210077920975,6.0,20.0,37.0,64.75,247.0
2010-02-28,ATI,SO2,1,602.0,6.473421926910299,11.16984849460355,1.0,2.0,3.0,5.0,112.0
2010-02-28,AZC,NO,1,588.0,28.22448979591837,38.16498674882807,0.0,5.0,13.0,37.0,278.0
2010-02-28,AZC,NO2,1,588.0,30.57312925170068,16.82882330314912,2.0,19.0,28.0,38.0,139.0
2010-02-28,AZC,NOX,1,588.0,58.7312925170068,47.28339916743937,4.0,27.75,47.0,72.0,326.0
2010-02-28,AZC,O3,1,626.0,19.06549520766773,23.507626496828127,0.0,2.0,9.0,29.0,138.0
2010-02-28,AZC,SO2,1,630.0,5.415873015873016,10.278865382957202,0.0,1.0,2.0,4.0,90.0
2010-02-28,CAM,PM2.5,2,449.0,17.661469933184854,11.213486720980958,1.0,10.0,15.0,23.0,63.0
2010-02-28,CES,NO,1,542.0,34.80442804428044,41.92620198501802,1.0,10.0,22.5,44.0,369.0
2010-02-28,CES,NO2,1,542.0,31.0479704797048,15.650925974479792,3.0,19.0,28.5,40.0,110.0
2010-02-28,CES,NOX,1,542.0,65.6789667896679,50.94849235127233,4.0,32.25,55.0,83.0,434.0
2010-02-28,CES,O3,1,629.0,19.146263910969797,18.52956596472426,1.0,5.0,12.0,29.0,102.0
2010-02-28,CES,PM10,2,618.0,37.47734627831715,24.96578478241976,1.0,19.0,32.0,51.0,136.0
2010-02-28,CES,SO2,1,632.0,4.137658227848101,5.235049459497678,0.0,0.0,4.0,5.25,46.0
2010-02-28,CHO,CO,15,188.0,0.7941489361702126,0.667277827913179,0.0,0.4,0.6,0.9,3.9
2010-02-28,CHO,O3,1,188.0,26.20212765957447,23.34561520841872,0.0,4.75,21.0,40.25,91.0
2010-02-28,CHO,SO2,1,188.0,4.718085106382978,4.167648839373722,1.0,2.0,3.0,6.0,28.0
2010-02-28,COY,O3,1,630.0,21.91587301587301,25.109823680425716,0.0,2.0,12.0,35.0,140.0
2010-02-28,COY,PM2.5,2,609.0,13.796387520525451,10.998112282143408,1.0,6.0,10.0,19.0,60.0
2010-02-28,CUA,O3,1,506.0,29.772727272727277,19.78012121599692,1.0,15.25,28.0,41.0,141.0
2010-02-28,FAC,CO,15,636.0,1.6006289308176092,0.9161196397710776,0.5,0.9,1.3,2.0,5.4
2010-02-28,FAC,NO,1,636.0,36.67924528301887,48.2616322078576,0.0,6.0,17.0,47.0,287.0
2010-02-28,FAC,NO2,1,636.0,29.979559748427672,18.36458137978354,4.0,18.0,27.0,37.0,138.0
2010-02-28,FAC,NOX,1,636.0,66.58490566037736,57.67528455905063,4.0,25.0,48.5,88.0,322.0
2010-02-28,FAC,O3,1,635.0,20.637795275590552,23.022369211063268,0.0,3.0,12.0,32.0,140.0
2010-02-28,FAC,PM10,2,576.0,31.71701388888889,23.396427570627814,1.0,14.0,26.0,42.0,138.0
2010-02-28,FAC,SO2,1,636.0,6.117924528301887,8.797830410823007,1.0,2.0,3.0,6.0,95.0
2010-02-28,IMP,CO,15,639.0,1.2117370892018784,0.8659004878780835,0.2,0.6,1.0,1.5,5.4
2010-02-28,IZT,CO,15,626.0,0.988019169329073,1.0017585687339787,0.0,0.4,0.7,1.2,10.9
2010-02-28,IZT,NO,1,605.0,33.26611570247934,50.23873725338253,0.0,8.0,15.0,39.0,513.0
2010-02-28,IZT,NO2,1,605.0,30.76694214876033,16.742505432300778,2.0,19.0,29.0,39.0,128.0
2010-02-28,IZT,NOX,1,605.0,63.95206611570248,59.19830868799209,4.0,28.0,48.0,77.0,560.0
2010-02-28,IZT,O3,1,547.0,19.10420475319927,22.482107673388903,0.0,2.0,10.0,28.0,107.0
2010-02-28,IZT,PM10,2,619.0,34.24071082390953,20.462181316243665,1.0,19.0,30.0,47.0,108.0
2010-02-28,IZT,SO2,1,626.0,4.327476038338658,8.693893711072445,0.0,0.0,1.0,4.0,72.0
2010-02-28,LAG,CO,15,530.0,1.278867924528302,0.867370404842167,0.0,0.7,1.0,1.6,5.7
2010-02-28,LAG,NO,1,609.0,38.881773399014776,48.12862234632473,0.0,10.0,22.0,46.0,348.0
2010-02-28,LAG,NO2,1,609.0,34.82922824302135,15.950800164370268,8.0,25.0,32.0,42.0,130.0
