,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2015-01-31,ACO,CO,15,699.0,0.3391988555078682,0.21699283444220302,0.0,0.2,0.3,0.4,1.2
2015-01-31,ACO,NO,1,699.0,9.696709585121603,13.407846483453227,0.0,2.0,3.0,12.0,113.0
2015-01-31,ACO,NO2,1,699.0,14.145922746781116,7.387272788706829,1.0,8.0,14.0,19.0,44.0
2015-01-31,ACO,NOX,1,699.0,23.846924177396282,17.951168277621715,1.0,10.0,19.0,31.0,141.0
2015-01-31,ACO,O3,1,698.0,28.56590257879656,22.696218169521746,2.0,7.0,25.0,42.0,103.0
2015-01-31,ACO,PM10,2,703.0,38.627311522048366,21.499233260653206,2.0,24.0,36.0,48.0,181.0
2015-01-31,ACO,SO2,1,698.0,1.6303724928366763,2.4438122320401234,0.0,1.0,1.0,2.0,25.0
2015-01-31,AJM,CO,15,692.0,0.6216763005780342,0.3061711057688368,0.1,0.4,0.6,0.8,2.0
2015-01-31,AJM,NO,1,677.0,7.2599704579025115,12.994323134620656,0.0,1.0,2.0,7.0,94.0
2015-01-31,AJM,NO2,1,677.0,22.112259970457902,12.211127687957626,2.0,13.0,21.0,29.0,65.0
2015-01-31,AJM,NOX,1,677.0,29.394387001477106,22.10236066907487,3.0,15.0,25.0,37.0,141.0
2015-01-31,AJM,O3,1,692.0,37.585260115606935,25.60475403728681,1.0,17.0,31.5,52.0,121.0
2015-01-31,AJM,PM10,2,522.0,42.43295019157088,19.54423857634735,3.0,27.0,42.0,56.0,100.0
2015-01-31,AJM,PM2.5,2,522.0,24.461685823754788,12.524810978646178,2.0,15.0,23.0,34.0,66.0
2015-01-31,AJM,PMCO,2,522.0,17.988505747126435,9.20046846784434,1.0,11.0,18.0,24.0,52.0
2015-01-31,AJM,SO2,1,692.0,3.0751445086705202,4.19911307662905,0.0,1.0,2.0,4.0,35.0
2015-01-31,AJU,O3,1,683.0,30.314787701317716,24.96218020981537,0.0,10.0,23.0,44.0,114.0
2015-01-31,ATI,CO,15,680.0,0.7992647058823521,0.6073065579312035,0.2,0.4,0.6,1.0,3.6
2015-01-31,ATI,NO,1,680.0,21.404411764705884,36.09012990868536,1.0,3.0,6.0,19.0,197.0
2015-01-31,ATI,NO2,1,680.0,26.604411764705883,15.490059844884215,4.0,16.0,23.0,33.0,97.0
2015-01-31,ATI,NOX,1,680.0,47.98676470588235,44.15835210024996,5.0,19.0,32.0,56.0,234.0
2015-01-31,ATI,O3,1,681.0,26.75770925110132,24.773533731954377,0.0,7.0,20.0,38.0,122.0
2015-01-31,ATI,PM10,2,115.0,47.8,37.25756722854398,7.0,20.5,35.0,58.0,179.0
2015-01-31,ATI,SO2,1,681.0,5.154185022026431,7.4251966276883214,0.0,1.0,3.0,6.0,66.0
2015-01-31,CAM,CO,15,705.0,1.0367375886524823,0.6783989512140928,0.2,0.6,0.8,1.3,4.4
2015-01-31,CAM,NO,1,251.0,42.0796812749004,58.98631727356782,2.0,8.0,18.0,49.5,358.0
2015-01-31,CAM,NO2,1,251.0,35.83665338645418,14.21243157082484,10.0,27.0,34.0,44.0,99.0
2015-01-31,CAM,NOX,1,251.0,77.93227091633466,67.28577408652077,14.0,37.5,55.0,92.5,420.0
2015-01-31,CAM,O3,1,705.0,21.631205673758867,25.2511845321609,1.0,2.0,10.0,35.0,109.0
2015-01-31,CAM,PM10,2,707.0,57.176803394625175,29.651634094904757,5.0,37.0,52.0,72.0,211.0
2015-01-31,CAM,PM2.5,2,707.0,32.76803394625177,21.82787279027486,1.0,18.0,30.0,42.0,190.0
2015-01-31,CAM,PMCO,2,707.0,24.44130127298444,14.03326248933791,2.0,15.0,21.0,31.0,111.0
2015-01-31,CAM,SO2,1,702.0,6.736467236467236,8.010535719220705,0.0,2.0,4.0,7.75,67.0
2015-01-31,CCA,CO,15,705.0,0.8699290780141845,0.48026758707016654,0.1,0.6,0.7,1.0,3.3
2015-01-31,CCA,NO,1,606.0,22.199669966996698,37.1400485527747,1.0,2.0,7.0,23.0,220.0
2015-01-31,CCA,NO2,1,606.0,31.519801980198018,14.634458508209047,4.0,22.0,29.0,38.0,94.0
2015-01-31,CCA,NOX,1,606.0,53.6996699669967,43.34088101126979,5.0,27.0,41.0,63.0,266.0
2015-01-31,CCA,O3,1,705.0,26.160283687943263,27.936588299727937,0.0,3.0,16.0,41.0,125.0
2015-01-31,CCA,PM2.5,2,702.0,20.35042735042735,15.236405969394074,1.0,11.0,18.0,26.0,129.0
2015-01-31,CCA,SO2,1,705.0,3.1163120567375886,4.132132678250314,0.0,1.0,2.0,4.0,30.0
2015-01-31,CHO,CO,15,0.0,,,,,,,
2015-01-31,CHO,NO,1,0.0,,,,,,,
2015-01-31,CHO,NO2,1,0.0,,,,,,,
2015-01-31,CHO,NOX,1,0.0,,,,,,,
2015-01-31,CHO,O3,1,701.0,24.737517831669045,24.052730860133885,0.0,3.0,17.0,41.0,105.0
2015-01-31,CHO,PM10,2,661.0,66.11195158850227,34.41695573102874,7.0,42.0,63.0,83.0,204.0
2015-01-31,CHO,SO2,1,701.0,2.1440798858773182,2.2923624531182454,0.0,1.0,1.0,2.0,22.0
2015-01-31,COY,NO,1,0.0,,,,,,,
2015-01-31,COY,NO2,1,0.0,,,,,,,
2015-01-31,COY,NOX,1,0.0,,,,,,,
2015-01-31,COY,O3,1,699.0,24.444921316165953,26.245278725936778,1.0,3.0,13.0,39.0,125.0
2015-01-31,COY,PM2.5,2,669.0,27.66068759342302,23.233711572168882,1.0,14.0,23.0,34.0,196.0
2015-01-31,CUA,CO,15,702.0,0.6851851851851849,0.38736449183901406,0.2,0.42500000000000004,0.6,0.8,3.4
2015-01-31,CUA,NO,1,700.0,14.348571428571429,25.445303019198082,1.0,3.0,5.5,13.0,198.0
2015-01-31,CUA,NO2,1,700.0,25.74,14.375143465104829,6.0,15.0,23.0,34.0,122.0
2015-01-31,CUA,NOX,1,700.0,40.1,34.449918035412516,6.0,20.0,30.0,47.0,251.0
2015-01-31,CUA,O3,1,590.0,32.18135593220339,24.510889264888107,1.0,15.0,27.0,42.0,116.0
2015-01-31,CUA,PM10,2,0.0,,,,,,,
2015-01-31,CUA,SO2,1,702.0,3.923076923076923,4.750830868671201,0.0,1.0,3.0,4.0,50.0
2015-01-31,CUT,NO,1,699.0,30.031473533619458,41.59243008155687,0.0,3.0,9.0,44.0,218.0
2015-01-31,CUT,NO2,1,699.0,22.410586552217453,11.650175648264119,3.0,14.0,21.0,29.0,66.0
2015-01-31,CUT,NOX,1,699.0,52.45064377682404,46.779906653288656,3.0,18.0,38.0,71.0,259.0
2015-01-31,CUT,O3,1,701.0,19.43081312410842,19.973979302958867,2.0,2.0,13.0,31.0,88.0
2015-01-31,CUT,PM10,2,699.0,75.00429184549357,48.79368569588311,4.0,43.0,63.0,92.0,319.0
2015-01-31,CUT,SO2,1,701.0,4.29243937232525,7.372831393382568,0.0,1.0,2.0,4.0,75.0
2015-01-31,FAC,CO,15,702.0,0.9564102564102562,0.7016041877724151,0.1,0.5,0.7,1.1,3.7
2015-01-31,FAC,NO,1,702.0,33.65811965811966,48.828383690287396,1.0,7.0,13.5,36.0,284.0
2015-01-31,FAC,NO2,1,702.0,31.198005698005698,18.417316372898235,5.0,19.0,26.0,37.0,121.0
2015-01-31,FAC,NOX,1,702.0,64.86609686609687,57.31415308831025,6.0,27.0,43.0,76.75,323.0
2015-01-31,FAC,O3,1,702.0,26.29059829059829,23.503079530785143,3.0,8.0,19.0,39.0,115.0
2015-01-31,FAC,PM10,2,693.0,51.266955266955264,34.83170963451298,1.0,28.0,42.0,66.0,209.0
2015-01-31,FAC,SO2,1,702.0,5.880341880341881,6.8530477531056535,0.0,2.0,4.0,6.0,72.0
2015-01-31,HGM,CO,15,591.0,1.0236886632825728,0.535499701235962,0.3,0.7,0.9,1.2,3.6
2015-01-31,HGM,NO,1,704.0,27.31534090909091,35.90563724067383,0.0,5.0,12.0,34.25,217.0
2015-01-31,HGM,NO2,1,704.0,36.546875,15.905680973579406,7.0,26.0,34.0,45.0,108.0
2015-01-31,HGM,NOX,1,704.0,63.88210227272727,43.56622490336887,8.0,34.0,51.0,81.0,273.0
2015-01-31,HGM,O3,1,704.0,19.866477272727273,21.13014097346527,1.0,3.0,11.0,31.0,90.0
2015-01-31,HGM,PM10,2,631.0,56.521394611727416,28.798684415849905,8.0,36.0,53.0,71.0,224.0
2015-01-31,HGM,PM2.5,2,631.0,30.754358161648177,22.08816840204807,1.0,17.0,27.0,39.0,184.0
2015-01-31,HGM,PMCO,2,631.0,25.801901743264658,11.174676424981094,1.0,18.0,25.0,33.0,67.0
2015-01-31,HGM,SO2,1,704.0,6.1803977272727275,8.032126946455573,1.0,2.0,3.0,6.0,50.0
2015-01-31,IZT,CO,15,699.0,1.1985693848354795,0.675607091297957,0.3,0.7,1.0,1.5,4.5
2015-01-31,IZT,NO,1,698.0,32.48280802292263,41.997545424214174,1.0,6.0,14.0,43.75,260.0
2015-01-31,IZT,NO2,1,698.0,37.85243553008596,16.23190089561973,8.0,27.0,36.0,47.0,103.0
2015-01-31,IZT,NOX,1,698.0,70.34957020057307,49.423312839578294,9.0,35.0,56.0,90.75,319.0
2015-01-31,IZT,O3,1,699.0,24.257510729613735,25.752837996128278,3.0,4.0,13.0,38.0,119.0
2015-01-31,IZT,PM10,2,711.0,43.74683544303797,24.36501851621332,1.0,29.0,41.0,54.0,249.0
2015-01-31,IZT,SO2,1,699.0,5.646638054363376,7.5025993202879375,0.0,2.0,3.0,6.0,57.0
2015-01-31,LLA,CO,15,0.0,,,,,,,
2015-01-31,LLA,NO,1,698.0,32.81948424068768,50.33926869513373,0.0,4.0,12.0,39.0,344.0
2015-01-31,LLA,NO2,1,698.0,25.406876790830946,11.978247081441083,4.0,16.0,25.0,33.0,82.0
2015-01-31,LLA,NOX,1,698.0,58.21489971346705,55.362970354125885,5.0,21.0,42.0,74.75,380.0
2015-01-31,LLA,O3,1,703.0,22.67425320056899,23.750315756873277,1.0,3.0,13.0,36.0,106.0
2015-01-31,LLA,SO2,1,699.0,5.0929899856938485,10.671236790027669,0.0,1.0,2.0,5.0,152.0
2015-01-31,LPR,CO,15,0.0,,,,,,,
2015-01-31,LPR,NO,1,0.0,,,,,,,
2015-01-31,LPR,NO2,1,0.0,,,,,,,
2015-01-31,LPR,NOX,1,0.0,,,,,,,
2015-01-31,LPR,O3,1,0.0,,,,,,,
2015-01-31,LPR,SO2,1,0.0,,,,,,,
2015-01-31,MER,CO,15,692.0,1.217196531791908,0.604212613013474,0.4,0.8,1.1,1.5,3.7
2015-01-31,MER,NO,1,430.0,39.10697674418605,44.38071881977387,0.0,8.0,22.0,48.0,211.0
2015-01-31,MER,NO2,1,430.0,40.05348837209302,15.32870380355323,10.0,31.0,38.0,48.0,105.0
2015-01-31,MER,NOX,1,430.0,79.2,51.261994446100815,12.0,44.0,65.0,98.0,263.0
2015-01-31,MER,O3,1,692.0,21.351156069364162,25.330797540072208,0.0,2.0,9.5,34.0,121.0
2015-01-31,MER,PM10,2,674.0,63.952522255192875,28.059014456881417,12.0,45.0,60.0,80.0,222.0
2015-01-31,MER,PM2.5,2,674.0,31.94658753709199,20.42803761692874,2.0,19.0,29.0,40.0,177.0
2015-01-31,MER,PMCO,2,674.0,32.00148367952522,13.12546601543422,4.0,23.0,31.0,40.0,89.0
2015-01-31,MER,SO2,1,692.0,6.1026011560693645,8.042012992012847,0.0,2.0,3.0,6.0,63.0
2015-01-31,MGH,CO,15,700.0,0.9221428571428583,0.5415586916230888,0.2,0.5,0.8,1.1,3.1
