,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2020-01-31,ACO,CO,15,0.0,,,,,,,
2020-01-31,ACO,NO,1,0.0,,,,,,,
2020-01-31,ACO,NO2,1,0.0,,,,,,,
2020-01-31,ACO,NOX,1,0.0,,,,,,,
2020-01-31,ACO,O3,1,0.0,,,,,,,
2020-01-31,ACO,PM10,2,0.0,,,,,,,
2020-01-31,ACO,SO2,1,0.0,,,,,,,
2020-01-31,AJM,CO,15,643.0,0.24059097978226954,0.1815928803296581,0.0,0.1,0.2,0.3,1.2
2020-01-31,AJM,NO,1,324.0,4.45679012345679,7.541914880669962,0.0,0.0,2.0,4.0,60.0
2020-01-31,AJM,NO2,1,324.0,18.64814814814815,10.978714120637719,2.0,9.0,18.0,25.0,62.0
2020-01-31,AJM,NOX,1,324.0,23.13888888888889,16.172325672180193,2.0,10.0,20.0,31.0,114.0
2020-01-31,AJM,O3,1,645.0,34.44496124031008,21.049531062628688,0.0,19.0,31.0,45.0,121.0
2020-01-31,AJM,PM10,2,1.0,29.0,,29.0,29.0,29.0,29.0,29.0
2020-01-31,AJM,PM2.5,2,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
2020-01-31,AJM,PMCO,2,1.0,13.0,,13.0,13.0,13.0,13.0,13.0
2020-01-31,AJM,SO2,1,646.0,4.222910216718266,6.152569379301627,1.0,1.0,2.0,5.0,56.0
2020-01-31,AJU,O3,1,648.0,28.165123456790123,22.228938481460503,0.0,10.0,22.5,43.0,120.0
2020-01-31,AJU,PM2.5,2,551.0,14.78584392014519,10.72268026047229,1.0,8.0,13.0,18.5,110.0
2020-01-31,ATI,CO,15,244.0,0.4163934426229508,0.36545493509659094,0.0,0.2,0.3,0.5,1.7
2020-01-31,ATI,NO,1,658.0,13.623100303951368,25.137749235848766,0.0,1.0,2.0,14.0,138.0
2020-01-31,ATI,NO2,1,658.0,22.132218844984802,13.214971040641888,2.0,12.0,20.5,29.0,80.0
2020-01-31,ATI,NOX,1,658.0,35.7629179331307,33.66277872567251,1.0,14.0,25.0,43.0,200.0
2020-01-31,ATI,O3,1,677.0,21.125553914327917,18.551317275565676,0.0,6.0,17.0,32.0,86.0
2020-01-31,ATI,PM10,2,687.0,37.975254730713246,24.51781583837722,1.0,20.0,32.0,53.0,128.0
2020-01-31,ATI,SO2,1,688.0,5.867732558139535,9.181413068963135,0.0,1.0,2.5,6.0,88.0
2020-01-31,BJU,CO,15,679.0,0.41840942562592076,0.35631654205371216,0.0,0.15000000000000002,0.3,0.6,1.9
2020-01-31,BJU,NO2,1,694.0,26.744956772334294,13.871074960539236,2.0,16.0,25.0,35.0,82.0
2020-01-31,BJU,O3,1,595.0,22.008403361344538,21.53366161300228,0.0,4.0,15.0,33.0,93.0
2020-01-31,BJU,PM10,2,687.0,40.748180494905384,16.61190672184578,6.0,29.0,38.0,51.5,103.0
2020-01-31,BJU,PM2.5,2,687.0,18.50655021834061,12.35574018959121,1.0,9.0,16.0,24.0,87.0
2020-01-31,BJU,PMCO,2,687.0,22.250363901018922,9.717056733308956,1.0,16.0,21.0,28.0,65.0
2020-01-31,BJU,SO2,1,695.0,5.012949640287769,7.950212823464758,0.0,1.0,2.0,6.0,66.0
2020-01-31,CAM,CO,15,689.0,0.5312046444121917,0.5035615885537428,0.0,0.2,0.4,0.7,3.1
2020-01-31,CAM,NO,1,692.0,27.420520231213874,47.00941539175177,0.0,2.0,7.0,31.0,310.0
2020-01-31,CAM,NO2,1,692.0,30.645953757225435,15.460807022673794,2.0,19.0,29.0,39.0,92.0
2020-01-31,CAM,NOX,1,692.0,58.07514450867052,55.76893216839821,2.0,22.0,41.0,73.0,358.0
2020-01-31,CAM,O3,1,692.0,21.56791907514451,22.835845581461626,1.0,3.0,12.0,33.25,112.0
2020-01-31,CAM,PM10,2,67.0,38.64179104477612,22.07610904763221,11.0,24.0,32.0,41.5,112.0
2020-01-31,CAM,PM2.5,2,67.0,11.149253731343284,8.015616824113327,3.0,6.5,9.0,13.0,36.0
2020-01-31,CAM,PMCO,2,67.0,27.47761194029851,17.033263543374094,7.0,16.0,23.0,32.0,93.0
2020-01-31,CAM,SO2,1,692.0,6.871387283236994,9.694132191226142,1.0,2.0,3.0,8.0,78.0
2020-01-31,CCA,CO,15,693.0,0.389610389610389,0.3190149098776891,0.0,0.2,0.3,0.5,1.9
2020-01-31,CCA,NO,1,692.0,12.845375722543352,22.62141881700232,0.0,1.0,3.0,13.25,145.0
2020-01-31,CCA,NO2,1,692.0,22.057803468208093,12.883407241241123,1.0,12.0,20.0,29.0,86.0
2020-01-31,CCA,NOX,1,692.0,34.877167630057805,30.08166788530877,0.0,14.0,25.5,47.0,180.0
2020-01-31,CCA,O3,1,695.0,23.053237410071944,21.743362636786294,0.0,5.0,17.0,35.5,101.0
2020-01-31,CCA,PM2.5,2,687.0,15.95778748180495,9.626537652115543,1.0,9.0,15.0,21.0,63.0
2020-01-31,CCA,SO2,1,695.0,3.539568345323741,4.412234410536355,1.0,1.0,2.0,4.0,42.0
2020-01-31,CHO,CO,15,0.0,,,,,,,
2020-01-31,CHO,NO,1,0.0,,,,,,,
2020-01-31,CHO,NO2,1,0.0,,,,,,,
2020-01-31,CHO,NOX,1,0.0,,,,,,,
2020-01-31,CHO,O3,1,0.0,,,,,,,
2020-01-31,CHO,PM10,2,0.0,,,,,,,
2020-01-31,CHO,SO2,1,0.0,,,,,,,
2020-01-31,COY,NO,1,0.0,,,,,,,
2020-01-31,COY,NO2,1,0.0,,,,,,,
2020-01-31,COY,NOX,1,0.0,,,,,,,
2020-01-31,COY,O3,1,0.0,,,,,,,
2020-01-31,COY,PM2.5,2,0.0,,,,,,,
2020-01-31,CUA,CO,15,689.0,0.29709724238026,0.2638990802215944,0.0,0.1,0.2,0.4,1.7
2020-01-31,CUA,NO,1,692.0,9.507225433526012,16.1919100359381,0.0,2.0,3.5,9.0,162.0
2020-01-31,CUA,NO2,1,692.0,21.286127167630056,13.663166644332788,2.0,11.0,19.0,29.0,91.0
2020-01-31,CUA,NOX,1,692.0,30.783236994219653,25.874445974455142,3.0,13.0,24.0,41.0,206.0
2020-01-31,CUA,O3,1,689.0,25.420899854862117,16.997261195338872,0.0,13.0,22.0,34.0,91.0
2020-01-31,CUA,PM10,2,684.0,34.345029239766085,21.659773494819227,1.0,19.0,30.0,45.0,200.0
2020-01-31,CUA,SO2,1,517.0,3.588007736943907,4.672458818522952,1.0,1.0,2.0,4.0,31.0
2020-01-31,CUT,NO,1,690.0,26.701449275362318,41.666491508014225,0.0,1.0,6.0,36.75,261.0
2020-01-31,CUT,NO2,1,690.0,22.121739130434783,11.868643293690491,3.0,13.0,21.0,29.0,74.0
2020-01-31,CUT,NOX,1,690.0,48.83913043478261,47.91409741128049,3.0,15.0,30.0,65.75,304.0
2020-01-31,CUT,O3,1,686.0,21.1399416909621,23.319693929382872,0.0,1.0,13.0,35.0,93.0
2020-01-31,CUT,PM10,2,682.0,50.99853372434018,35.6640178768668,1.0,27.0,43.0,66.0,245.0
2020-01-31,CUT,SO2,1,679.0,4.6141384388807065,6.123471968928912,0.0,1.0,2.0,5.0,50.0
2020-01-31,FAC,CO,15,693.0,0.48412698412698435,0.5091438422094724,0.0,0.1,0.3,0.7,2.7
2020-01-31,FAC,NO,1,694.0,22.622478386167145,36.33333510737466,0.0,2.0,7.0,22.0,188.0
2020-01-31,FAC,NO2,1,694.0,26.15129682997118,16.594611072330785,2.0,15.0,23.0,33.0,110.0
2020-01-31,FAC,NOX,1,694.0,48.76512968299712,46.610273844992996,3.0,17.0,32.0,64.0,230.0
2020-01-31,FAC,O3,1,694.0,22.112391930835734,19.05105290479331,1.0,7.0,16.0,32.75,89.0
2020-01-31,FAC,PM10,2,619.0,39.01292407108239,25.391048310698636,1.0,20.0,33.0,54.0,141.0
2020-01-31,FAC,SO2,1,694.0,5.86599423631124,7.814455235410182,0.0,1.0,3.0,6.0,68.0
2020-01-31,FAR,CO,15,367.0,0.3460490463215254,0.33458142481064757,0.0,0.1,0.2,0.4,2.1
2020-01-31,FAR,NO,1,0.0,,,,,,,
2020-01-31,FAR,NO2,1,651.0,22.4715821812596,11.725201278925361,3.0,13.0,22.0,29.5,73.0
2020-01-31,FAR,NOX,1,0.0,,,,,,,
2020-01-31,FAR,O3,1,660.0,24.921212121212122,24.5902352725464,0.0,4.0,17.0,38.25,114.0
2020-01-31,FAR,PM2.5,2,693.0,18.72150072150072,12.023775197454237,1.0,10.0,17.0,26.0,117.0
2020-01-31,FAR,SO2,1,651.0,3.921658986175115,7.087041761965145,0.0,1.0,1.0,3.5,62.0
2020-01-31,GAM,NO2,1,669.0,27.43198804185351,13.482088109202058,3.0,17.0,27.0,36.0,70.0
2020-01-31,GAM,O3,1,669.0,22.626307922272048,25.11096859905813,0.0,1.0,13.0,36.0,118.0
2020-01-31,GAM,PM10,2,528.0,48.5625,23.17903003980835,6.0,31.0,47.0,63.0,157.0
2020-01-31,GAM,PM2.5,2,528.0,22.267045454545453,12.882872335129411,1.0,12.0,20.0,30.0,70.0
2020-01-31,GAM,PMCO,2,528.0,26.263257575757574,14.421837173901627,3.0,17.0,24.0,34.0,135.0
2020-01-31,HGM,CO,15,405.0,0.3434567901234563,0.31644357455288846,0.0,0.1,0.2,0.5,1.4
2020-01-31,HGM,NO,1,405.0,17.31604938271605,23.752829205066895,0.0,2.0,7.0,23.0,139.0
2020-01-31,HGM,NO2,1,405.0,27.501234567901236,11.5307648521696,8.0,19.0,27.0,35.0,71.0
2020-01-31,HGM,NOX,1,405.0,44.8320987654321,31.367929273717042,9.0,21.0,35.0,58.0,182.0
2020-01-31,HGM,O3,1,405.0,21.108641975308643,20.86882770272103,0.0,4.0,14.0,34.0,93.0
2020-01-31,HGM,PM10,2,1.0,51.0,,51.0,51.0,51.0,51.0,51.0
2020-01-31,HGM,PM2.5,2,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
2020-01-31,HGM,PMCO,2,1.0,18.0,,18.0,18.0,18.0,18.0,18.0
2020-01-31,HGM,SO2,1,0.0,,,,,,,
2020-01-31,INN,CO,15,677.0,0.16277695716395746,0.12163810010533782,0.0,0.1,0.1,0.2,0.7
2020-01-31,INN,O3,1,677.0,34.163958641063516,14.649494639123864,4.0,24.0,33.0,44.0,87.0
2020-01-31,INN,PM10,2,613.0,19.549755301794452,14.89767563477974,2.0,10.0,16.0,25.0,168.0
2020-01-31,INN,PM2.5,2,613.0,10.539967373572594,7.566942078358628,1.0,5.0,9.0,14.0,64.0
2020-01-31,INN,PMCO,2,613.0,9.03425774877651,9.074877390489128,1.0,3.0,7.0,12.0,135.0
2020-01-31,INN,SO2,1,677.0,1.3589364844903988,1.5003837942285148,0.0,1.0,1.0,1.0,13.0
2020-01-31,IZT,CO,15,654.0,0.5847094801223243,0.5258801341265407,0.0,0.2,0.4,0.8,3.1
2020-01-31,IZT,NO,1,662.0,20.886706948640484,30.403153526546706,1.0,3.0,8.0,26.0,227.0
2020-01-31,IZT,NO2,1,662.0,31.38821752265861,14.931777691141292,4.0,21.25,31.0,38.0,118.0
2020-01-31,IZT,NOX,1,662.0,52.30060422960725,39.55033139815576,6.0,25.0,41.0,67.0,279.0
2020-01-31,IZT,O3,1,662.0,18.61178247734139,21.041534751892332,0.0,2.0,10.0,30.0,91.0
2020-01-31,IZT,PM10,2,707.0,37.37057991513437,19.107675662151177,3.0,23.0,35.0,48.0,148.0
2020-01-31,IZT,SO2,1,658.0,6.390577507598784,9.090331523956914,1.0,1.0,3.0,7.0,77.0
