,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2019-01-06,ACO,CO,0,15,6.0,0.6150000000000001,0.38552561523198436,0.26,0.41999999999999993,0.51,0.63,1.35
2019-01-06,ACO,CO,6,15,6.0,0.5055555555555555,0.11722090573247053,0.3,0.47916666666666663,0.5333333333333333,0.55,0.65
2019-01-06,ACO,CO,12,15,6.0,0.25555555555555554,0.062063289083417496,0.1833333333333333,0.225,0.2499999999999999,0.26249999999999996,0.3666666666666666
2019-01-06,ACO,CO,18,15,6.0,0.41111111111111115,0.16722129936991573,0.2166666666666666,0.27499999999999997,0.41666666666666663,0.5583333333333333,0.5833333333333333
2019-01-06,ACO,NO,0,1,6.0,9.583333333333334,7.695821376998473,0.6,3.4,9.899999999999999,15.5,18.5
2019-01-06,ACO,NO,6,1,6.0,14.444444444444445,5.73649783469038,6.833333333333333,11.083333333333332,15.0,16.166666666666668,23.5
2019-01-06,ACO,NO,12,1,6.0,1.8333333333333333,1.0954451150103321,0.6666666666666666,1.0416666666666667,1.75,2.208333333333333,3.6666666666666665
2019-01-06,ACO,NO,18,1,6.0,4.333333333333333,4.444722213542209,0.1666666666666666,0.37499999999999994,3.75,7.5,10.333333333333334
2019-01-06,ACO,NO2,0,1,6.0,26.383333333333336,7.291204747273708,14.8,22.175,28.9,31.5,33.4
2019-01-06,ACO,NO2,6,1,6.0,21.527777777777775,6.165690613446375,12.5,17.25,24.25,25.249999999999996,27.666666666666668
2019-01-06,ACO,NO2,12,1,6.0,12.083333333333334,1.7280367794439766,9.833333333333334,11.0,12.083333333333332,12.916666666666666,14.666666666666666
2019-01-06,ACO,NO2,18,1,6.0,24.583333333333332,7.308860680327985,17.5,18.874999999999996,22.333333333333336,30.416666666666668,34.5
2019-01-06,ACO,NOX,0,1,6.0,36.05,12.022603711343063,15.8,31.55,37.85,44.075,49.2
2019-01-06,ACO,NOX,6,1,6.0,35.916666666666664,11.66226107293664,19.0,28.791666666666664,39.16666666666666,41.041666666666664,51.16666666666666
2019-01-06,ACO,NOX,12,1,6.0,13.944444444444443,2.5092421756969365,11.5,12.0,13.416666666666668,15.208333333333332,18.0
2019-01-06,ACO,NOX,18,1,6.0,28.833333333333332,11.49589298643457,17.666666666666668,19.624999999999996,25.5,39.375,42.66666666666666
2019-01-06,ACO,O3,0,1,6.0,4.866666666666667,3.1991665581314566,1.8,2.25,4.2,6.75,9.8
2019-01-06,ACO,O3,6,1,6.0,11.333333333333334,2.849951266639874,6.833333333333333,9.916666666666666,12.333333333333332,12.5,14.833333333333334
2019-01-06,ACO,O3,12,1,6.0,63.27777777777778,7.901242283946848,50.5,59.833333333333336,64.0,69.16666666666667,71.83333333333333
2019-01-06,ACO,O3,18,1,6.0,33.611111111111114,9.887515510125025,22.666666666666668,26.291666666666668,32.916666666666664,38.791666666666664,48.333333333333336
2019-01-06,ACO,PM10,0,2,6.0,100.56666666666666,54.194526168854615,59.2,68.35,84.3,101.14999999999999,205.8
2019-01-06,ACO,PM10,6,2,6.0,70.0,27.39282144406938,46.16666666666666,57.62499999999999,63.0,67.0,123.66666666666669
2019-01-06,ACO,PM10,12,2,6.0,54.97222222222222,8.639326534109182,42.5,50.37499999999999,55.16666666666667,59.58333333333333,67.16666666666667
2019-01-06,ACO,PM10,18,2,6.0,77.13888888888889,11.465608801332152,63.5,68.33333333333333,78.91666666666666,81.625,94.16666666666669
2019-01-06,ACO,SO2,0,1,6.0,1.833333333333333,1.4052283325732748,1.0,1.05,1.2,1.8,4.6
2019-01-06,ACO,SO2,6,1,6.0,1.8055555555555554,0.6783695049050961,1.3333333333333333,1.5,1.5833333333333335,1.6666666666666667,3.1666666666666665
2019-01-06,ACO,SO2,12,1,6.0,3.305555555555556,2.0640216048251983,2.0,2.0416666666666665,2.25,3.7083333333333335,7.166666666666667
2019-01-06,ACO,SO2,18,1,6.0,2.25,0.7359800721939873,1.3333333333333333,1.875,2.1666666666666665,2.458333333333333,3.5
2019-01-06,AJM,CO,0,15,6.0,0.13333333333333333,0.06772493386240157,0.06,0.085,0.11999999999999995,0.16999999999999998,0.24
2019-01-06,AJM,CO,6,15,6.0,0.33055555555555555,0.09855436551955964,0.2333333333333333,0.2583333333333333,0.3166666666666666,0.36250000000000004,0.5
2019-01-06,AJM,CO,12,15,6.0,0.4166666666666667,0.11205157542647737,0.25,0.3458333333333333,0.44999999999999996,0.47916666666666663,0.5499999999999999
2019-01-06,AJM,CO,18,15,6.0,0.32222222222222213,0.1093753306873308,0.1999999999999999,0.2291666666666666,0.32499999999999996,0.39583333333333326,0.4666666666666666
2019-01-06,AJM,NO,0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-06,AJM,NO,6,1,6.0,7.861111111111111,4.359429966134292,2.1666666666666665,5.458333333333334,7.75,9.416666666666666,14.833333333333334
2019-01-06,AJM,NO,12,1,6.0,4.333333333333333,2.586288632169443,1.0,2.5416666666666665,4.166666666666667,6.416666666666666,7.5
2019-01-06,AJM,NO,18,1,6.0,0.3611111111111111,0.19484086574166867,0.0,0.3333333333333333,0.41666666666666663,0.5,0.5
2019-01-06,AJM,NO2,0,1,6.0,10.266666666666667,3.944954583600002,3.0,9.4,11.8,12.55,13.6
2019-01-06,AJM,NO2,6,1,6.0,20.11111111111111,6.8844968077773325,7.666666666666667,18.958333333333332,21.416666666666664,23.624999999999996,27.666666666666668
2019-01-06,AJM,NO2,12,1,6.0,23.638888888888886,7.913010851802286,14.666666666666666,16.458333333333332,24.416666666666664,30.75,31.666666666666668
2019-01-06,AJM,NO2,18,1,6.0,23.555555555555554,8.193267335418126,9.0,21.95833333333333,24.666666666666664,28.125,32.666666666666664
