,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2020-01-05,ACO,CO,0,15,0.0,,,,,,,
2020-01-05,ACO,CO,6,15,0.0,,,,,,,
2020-01-05,ACO,CO,12,15,0.0,,,,,,,
2020-01-05,ACO,CO,18,15,0.0,,,,,,,
2020-01-05,ACO,NO,0,1,0.0,,,,,,,
2020-01-05,ACO,NO,6,1,0.0,,,,,,,
2020-01-05,ACO,NO,12,1,0.0,,,,,,,
2020-01-05,ACO,NO,18,1,0.0,,,,,,,
2020-01-05,ACO,NO2,0,1,0.0,,,,,,,
2020-01-05,ACO,NO2,6,1,0.0,,,,,,,
2020-01-05,ACO,NO2,12,1,0.0,,,,,,,
2020-01-05,ACO,NO2,18,1,0.0,,,,,,,
2020-01-05,ACO,NOX,0,1,0.0,,,,,,,
2020-01-05,ACO,NOX,6,1,0.0,,,,,,,
2020-01-05,ACO,NOX,12,1,0.0,,,,,,,
2020-01-05,ACO,NOX,18,1,0.0,,,,,,,
2020-01-05,ACO,O3,0,1,0.0,,,,,,,
2020-01-05,ACO,O3,6,1,0.0,,,,,,,
2020-01-05,ACO,O3,12,1,0.0,,,,,,,
2020-01-05,ACO,O3,18,1,0.0,,,,,,,
2020-01-05,ACO,PM10,0,2,0.0,,,,,,,
2020-01-05,ACO,PM10,6,2,0.0,,,,,,,
2020-01-05,ACO,PM10,12,2,0.0,,,,,,,
2020-01-05,ACO,PM10,18,2,0.0,,,,,,,
2020-01-05,ACO,SO2,0,1,0.0,,,,,,,
2020-01-05,ACO,SO2,6,1,0.0,,,,,,,
2020-01-05,ACO,SO2,12,1,0.0,,,,,,,
2020-01-05,ACO,SO2,18,1,0.0,,,,,,,
2020-01-05,AJM,CO,0,15,3.0,0.08,0.034641016151377546,0.06,0.06,0.06,0.09,0.12
2020-01-05,AJM,CO,6,15,3.0,0.2888888888888888,0.13877773329774215,0.1333333333333333,0.2333333333333333,0.3333333333333333,0.3666666666666666,0.3999999999999999
2020-01-05,AJM,CO,12,15,3.0,0.3277777777777778,0.2200589146704262,0.1333333333333333,0.20833333333333331,0.2833333333333333,0.425,0.5666666666666667
2020-01-05,AJM,CO,18,15,3.0,0.3277777777777778,0.07876359377087684,0.2666666666666666,0.2833333333333333,0.3,0.35833333333333334,0.4166666666666667
2020-01-05,AJM,NO,0,1,3.0,0.26666666666666666,0.4618802153517007,0.0,0.0,0.0,0.4,0.8
2020-01-05,AJM,NO,6,1,3.0,10.722222222222221,7.341535816717654,5.0,6.583333333333333,8.166666666666666,13.583333333333332,19.0
2020-01-05,AJM,NO,12,1,3.0,5.222222222222222,1.512295287646244,3.8333333333333335,4.416666666666667,5.0,5.916666666666666,6.833333333333333
2020-01-05,AJM,NO,18,1,3.0,1.5,1.2583057392117918,0.1666666666666666,0.9166666666666666,1.6666666666666667,2.1666666666666665,2.6666666666666665
2020-01-05,AJM,NO2,0,1,3.0,8.466666666666667,3.1134118476894983,5.2,7.0,8.8,10.100000000000001,11.4
2020-01-05,AJM,NO2,6,1,3.0,20.0,8.845903006477066,12.0,15.25,18.5,24.0,29.5
2020-01-05,AJM,NO2,12,1,3.0,24.44444444444444,12.365199074343607,14.166666666666666,17.583333333333332,21.0,29.58333333333333,38.16666666666666
2020-01-05,AJM,NO2,18,1,3.0,24.944444444444443,2.820231143666013,21.83333333333333,23.75,25.666666666666668,26.5,27.33333333333333
2020-01-05,AJM,NOX,0,1,3.0,8.733333333333334,2.7006172134038793,6.0,7.4,8.8,10.100000000000001,11.4
2020-01-05,AJM,NOX,6,1,3.0,30.88888888888889,15.861670548608448,17.333333333333332,22.166666666666664,27.0,37.66666666666667,48.333333333333336
2020-01-05,AJM,NOX,12,1,3.0,29.61111111111111,13.64259397513429,19.0,21.916666666666664,24.83333333333333,34.916666666666664,45.0
2020-01-05,AJM,NOX,18,1,3.0,26.5,2.905932629027114,23.166666666666668,25.5,27.83333333333333,28.166666666666664,28.5
2020-01-05,AJM,O3,0,1,3.0,30.2,4.779121258139408,26.0,27.6,29.2,32.3,35.4
2020-01-05,AJM,O3,6,1,3.0,20.38888888888889,6.892696080581185,12.833333333333334,17.416666666666668,22.0,24.166666666666664,26.33333333333333
2020-01-05,AJM,O3,12,1,3.0,61.77777777777777,14.302615663395796,45.5,56.5,67.5,69.91666666666666,72.33333333333333
2020-01-05,AJM,O3,18,1,3.0,38.44444444444444,17.364021978195584,24.83333333333333,28.666666666666664,32.5,45.25,58.0
2020-01-05,AJM,PM10,0,2,1.0,29.0,,29.0,29.0,29.0,29.0,29.0
2020-01-05,AJM,PM10,6,2,0.0,,,,,,,
2020-01-05,AJM,PM10,12,2,0.0,,,,,,,
2020-01-05,AJM,PM10,18,2,0.0,,,,,,,
2020-01-05,AJM,PM2.5,0,2,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
2020-01-05,AJM,PM2.5,6,2,0.0,,,,,,,
2020-01-05,AJM,PM2.5,12,2,0.0,,,,,,,
2020-01-05,AJM,PM2.5,18,2,0.0,,,,,,,
2020-01-05,AJM,PMCO,0,2,1.0,13.0,,13.0,13.0,13.0,13.0,13.0
2020-01-05,AJM,PMCO,6,2,0.0,,,,,,,
2020-01-05,AJM,PMCO,12,2,0.0,,,,,,,
2020-01-05,AJM,PMCO,18,2,0.0,,,,,,,
2020-01-05,AJM,SO2,0,1,3.0,4.533333333333333,6.119912853410033,1.0,1.0,1.0,6.3,11.6
2020-01-05,AJM,SO2,6,1,3.0,4.333333333333333,3.511884584284246,1.0,2.5,4.0,6.0,8.0
2020-01-05,AJM,SO2,12,1,3.0,5.0,4.272001872658765,1.0,2.75,4.5,7.0,9.5
