,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2014-01-05,ACO,CO,0,15,1.0,0.24,,0.24,0.24,0.24,0.24,0.24
2014-01-05,ACO,CO,6,15,1.0,0.34,,0.34,0.34,0.34,0.34,0.34
2014-01-05,ACO,CO,12,15,1.0,0.1,,0.1,0.1,0.1,0.1,0.1
2014-01-05,ACO,CO,18,15,1.0,0.25,,0.25,0.25,0.25,0.25,0.25
2014-01-05,ACO,NO,0,1,0.0,,,,,,,
2014-01-05,ACO,NO,6,1,0.0,,,,,,,
2014-01-05,ACO,NO,12,1,0.0,,,,,,,
2014-01-05,ACO,NO,18,1,0.0,,,,,,,
2014-01-05,ACO,NO2,0,1,0.0,,,,,,,
2014-01-05,ACO,NO2,6,1,0.0,,,,,,,
2014-01-05,ACO,NO2,12,1,0.0,,,,,,,
2014-01-05,ACO,NO2,18,1,0.0,,,,,,,
2014-01-05,ACO,NOX,0,1,0.0,,,,,,,
2014-01-05,ACO,NOX,6,1,0.0,,,,,,,
2014-01-05,ACO,NOX,12,1,0.0,,,,,,,
2014-01-05,ACO,NOX,18,1,0.0,,,,,,,
2014-01-05,ACO,O3,0,1,5.0,8.16,6.384982380555173,2.6,5.0,6.0,8.2,19.0
2014-01-05,ACO,O3,6,1,5.0,10.246666666666668,5.638538029588088,3.0,8.4,10.333333333333334,10.833333333333334,18.666666666666668
2014-01-05,ACO,O3,12,1,5.0,57.266666666666666,14.020619735866806,40.0,50.66666666666666,55.0,63.333333333333336,77.33333333333333
2014-01-05,ACO,O3,18,1,5.0,26.43333333333333,6.85018247932126,19.166666666666668,22.83333333333333,23.83333333333333,29.666666666666668,36.66666666666666
2014-01-05,ACO,PM10,0,2,1.0,52.0,,52.0,52.0,52.0,52.0,52.0
2014-01-05,ACO,PM10,6,2,1.0,55.2,,55.2,55.2,55.2,55.2,55.2
2014-01-05,ACO,PM10,12,2,1.0,34.0,,34.0,34.0,34.0,34.0,34.0
2014-01-05,ACO,PM10,18,2,1.0,40.16666666666666,,40.16666666666666,40.16666666666666,40.16666666666666,40.16666666666666,40.16666666666666
2014-01-05,ACO,SO2,0,1,1.0,2.6,,2.6,2.6,2.6,2.6,2.6
2014-01-05,ACO,SO2,6,1,1.0,2.4,,2.4,2.4,2.4,2.4,2.4
2014-01-05,ACO,SO2,12,1,1.0,2.2,,2.2,2.2,2.2,2.2,2.2
2014-01-05,ACO,SO2,18,1,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2014-01-05,ATI,CO,0,15,5.0,0.504,0.28684490582891653,0.2,0.2799999999999999,0.44,0.74,0.86
2014-01-05,ATI,CO,6,15,5.0,1.0566666666666666,0.33157871530670435,0.5499999999999999,0.9,1.2333333333333332,1.2333333333333334,1.366666666666667
2014-01-05,ATI,CO,12,15,5.0,0.6566666666666667,0.11583033569262707,0.5,0.6166666666666666,0.65,0.7000000000000001,0.8166666666666668
2014-01-05,ATI,CO,18,15,5.0,0.696,0.18088363355729253,0.4166666666666667,0.6799999999999999,0.6833333333333332,0.7999999999999999,0.9
2014-01-05,ATI,NO,0,1,5.0,6.44,8.061513505539763,0.8,0.8,3.8,6.6,20.2
2014-01-05,ATI,NO,6,1,5.0,35.36666666666666,22.83102178080419,10.0,15.333333333333334,36.66666666666666,51.66666666666666,63.16666666666666
2014-01-05,ATI,NO,12,1,5.0,7.633333333333335,2.4077421419708185,4.333333333333333,7.0,7.166666666666667,8.833333333333334,10.833333333333334
2014-01-05,ATI,NO,18,1,5.0,9.3,11.102051862406137,2.0,4.833333333333333,5.0,5.666666666666667,29.0
2014-01-05,ATI,NO2,0,1,5.0,17.439999999999998,7.400540520799814,8.8,11.6,18.4,21.2,27.2
2014-01-05,ATI,NO2,6,1,5.0,25.666666666666668,4.495367986420392,19.0,23.5,26.666666666666668,29.5,29.666666666666668
2014-01-05,ATI,NO2,12,1,5.0,24.666666666666664,5.46834323884097,18.0,20.666666666666668,25.5,27.33333333333333,31.83333333333333
2014-01-05,ATI,NO2,18,1,5.0,28.513333333333332,7.698542430587465,17.0,25.166666666666668,31.0,32.4,37.0
2014-01-05,ATI,NOX,0,1,5.0,23.919999999999998,15.011728747882437,9.8,12.4,22.2,27.8,47.4
2014-01-05,ATI,NOX,6,1,5.0,61.0,26.55732792783691,33.333333333333336,34.333333333333336,66.0,78.5,92.83333333333331
2014-01-05,ATI,NOX,12,1,5.0,32.3,6.601136265825753,25.166666666666668,25.5,34.166666666666664,37.66666666666666,39.0
2014-01-05,ATI,NOX,18,1,5.0,37.81333333333333,11.62453344344528,22.666666666666668,33.0,37.4,41.66666666666666,54.333333333333336
2014-01-05,ATI,O3,0,1,5.0,9.679999999999998,6.759585786126247,1.4,4.4,10.4,14.8,17.4
2014-01-05,ATI,O3,6,1,5.0,6.8,1.1080513425729772,5.5,5.833333333333333,7.166666666666667,7.333333333333333,8.166666666666666
2014-01-05,ATI,O3,12,1,5.0,46.8,15.964109050547663,27.83333333333333,35.666666666666664,48.333333333333336,53.16666666666666,69.0
2014-01-05,ATI,O3,18,1,5.0,16.259999999999998,5.377597563555269,10.0,12.166666666666666,15.833333333333334,20.8,22.5
2014-01-05,ATI,PM10,0,2,5.0,33.8,37.969724781725766,5.0,14.2,20.4,29.6,99.8
2014-01-05,ATI,PM10,6,2,5.0,57.33333333333333,29.033027170218855,24.83333333333333,46.16666666666666,50.16666666666666,62.16666666666666,103.33333333333331
2014-01-05,ATI,PM10,12,2,5.0,44.36666666666667,12.340313340160103,28.33333333333333,34.666666666666664,49.66666666666666,51.333333333333336,57.833333333333336
2014-01-05,ATI,PM10,18,2,5.0,38.013333333333335,22.22031852957008,6.5,32.4,38.0,45.16666666666666,68.0
