,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2020-01-31,ACO,CO,0,15,0.0,,,,,,,
2020-01-31,ACO,CO,6,15,0.0,,,,,,,
2020-01-31,ACO,CO,12,15,0.0,,,,,,,
2020-01-31,ACO,CO,18,15,0.0,,,,,,,
2020-01-31,ACO,NO,0,1,0.0,,,,,,,
2020-01-31,ACO,NO,6,1,0.0,,,,,,,
2020-01-31,ACO,NO,12,1,0.0,,,,,,,
2020-01-31,ACO,NO,18,1,0.0,,,,,,,
2020-01-31,ACO,NO2,0,1,0.0,,,,,,,
2020-01-31,ACO,NO2,6,1,0.0,,,,,,,
2020-01-31,ACO,NO2,12,1,0.0,,,,,,,
2020-01-31,ACO,NO2,18,1,0.0,,,,,,,
2020-01-31,ACO,NOX,0,1,0.0,,,,,,,
2020-01-31,ACO,NOX,6,1,0.0,,,,,,,
2020-01-31,ACO,NOX,12,1,0.0,,,,,,,
2020-01-31,ACO,NOX,18,1,0.0,,,,,,,
2020-01-31,ACO,O3,0,1,0.0,,,,,,,
2020-01-31,ACO,O3,6,1,0.0,,,,,,,
2020-01-31,ACO,O3,12,1,0.0,,,,,,,
2020-01-31,ACO,O3,18,1,0.0,,,,,,,
2020-01-31,ACO,PM10,0,2,0.0,,,,,,,
2020-01-31,ACO,PM10,6,2,0.0,,,,,,,
2020-01-31,ACO,PM10,12,2,0.0,,,,,,,
2020-01-31,ACO,PM10,18,2,0.0,,,,,,,
2020-01-31,ACO,SO2,0,1,0.0,,,,,,,
2020-01-31,ACO,SO2,6,1,0.0,,,,,,,
2020-01-31,ACO,SO2,12,1,0.0,,,,,,,
2020-01-31,ACO,SO2,18,1,0.0,,,,,,,
2020-01-31,AJM,CO,0,15,28.0,0.1335714285714286,0.10746969549475542,0.0,0.06,0.11,0.165,0.56
2020-01-31,AJM,CO,6,15,29.0,0.30873563218390804,0.1284783157329445,0.0999999999999999,0.2166666666666666,0.3166666666666666,0.3833333333333333,0.7000000000000001
2020-01-31,AJM,CO,12,15,29.0,0.2574712643678161,0.12920899513017906,0.05,0.15,0.25,0.3166666666666667,0.5666666666666667
2020-01-31,AJM,CO,18,15,29.0,0.23275862068965508,0.13954878809343713,0.0666666666666666,0.1166666666666666,0.2333333333333333,0.3,0.6499999999999999
2020-01-31,AJM,NO,0,1,15.0,0.4,0.5451081150953976,0.0,0.0,0.0,0.7,1.8
2020-01-31,AJM,NO,6,1,15.0,10.944444444444445,5.595018570499368,4.333333333333333,6.75,10.5,14.75,23.33333333333333
2020-01-31,AJM,NO,12,1,14.0,3.9761904761904767,1.5523034206127067,1.3333333333333333,3.2916666666666665,3.8333333333333335,4.958333333333333,6.833333333333333
2020-01-31,AJM,NO,18,1,14.0,1.2142857142857142,0.7522858937492222,0.1666666666666666,0.6666666666666666,1.0,1.6666666666666667,2.6666666666666665
2020-01-31,AJM,NO2,0,1,15.0,11.04,8.077906376566357,2.0,6.7,8.6,12.0,33.6
2020-01-31,AJM,NO2,6,1,15.0,21.411111111111108,7.3931184934505865,8.5,17.416666666666664,20.666666666666668,24.833333333333336,39.0
2020-01-31,AJM,NO2,12,1,14.0,19.25,7.835038003278637,9.333333333333334,14.458333333333332,16.166666666666668,24.166666666666664,38.16666666666666
2020-01-31,AJM,NO2,18,1,14.0,21.107142857142854,10.330770389947537,10.666666666666666,11.625,20.166666666666664,26.541666666666664,45.66666666666666
2020-01-31,AJM,NOX,0,1,15.0,11.44,8.224423557742078,2.0,6.9,9.0,12.4,33.8
2020-01-31,AJM,NOX,6,1,15.0,32.411111111111104,12.420839290371994,13.833333333333334,25.166666666666664,30.83333333333333,39.33333333333333,62.16666666666666
2020-01-31,AJM,NOX,12,1,14.0,23.285714285714285,9.100208641223416,10.666666666666666,18.75,19.666666666666664,29.416666666666664,45.0
2020-01-31,AJM,NOX,18,1,14.0,22.333333333333332,10.373165577708866,11.166666666666666,13.208333333333334,21.25,27.958333333333332,46.5
2020-01-31,AJM,O3,0,1,29.0,26.06551724137931,11.998817675744704,6.2,16.2,26.0,33.8,55.4
2020-01-31,AJM,O3,6,1,29.0,20.749425287356317,9.45254488572465,4.333333333333333,13.5,19.666666666666668,26.166666666666668,44.333333333333336
2020-01-31,AJM,O3,12,1,29.0,53.972413793103456,18.19113264919904,9.0,44.2,52.833333333333336,65.33333333333333,92.33333333333331
2020-01-31,AJM,O3,18,1,29.0,34.90229885057471,14.393734668290554,1.8333333333333333,27.166666666666668,32.666666666666664,41.0,66.16666666666667
2020-01-31,AJM,PM10,0,2,1.0,29.0,,29.0,29.0,29.0,29.0,29.0
2020-01-31,AJM,PM10,6,2,0.0,,,,,,,
2020-01-31,AJM,PM10,12,2,0.0,,,,,,,
2020-01-31,AJM,PM10,18,2,0.0,,,,,,,
2020-01-31,AJM,PM2.5,0,2,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
2020-01-31,AJM,PM2.5,6,2,0.0,,,,,,,
2020-01-31,AJM,PM2.5,12,2,0.0,,,,,,,
2020-01-31,AJM,PM2.5,18,2,0.0,,,,,,,
2020-01-31,AJM,PMCO,0,2,1.0,13.0,,13.0,13.0,13.0,13.0,13.0
2020-01-31,AJM,PMCO,6,2,0.0,,,,,,,
2020-01-31,AJM,PMCO,12,2,0.0,,,,,,,
2020-01-31,AJM,PMCO,18,2,0.0,,,,,,,
2020-01-31,AJM,SO2,0,1,29.0,5.027586206896553,9.422423730947218,1.0,1.0,1.8,6.4,51.0
2020-01-31,AJM,SO2,6,1,29.0,5.057471264367814,4.599705792452488,1.0,1.1666666666666667,3.333333333333333,7.833333333333333,17.333333333333332
2020-01-31,AJM,SO2,12,1,29.0,3.103448275862069,2.448036868620628,1.0,1.0,2.1666666666666665,4.5,9.5
