,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2021-01-31,ACO,CO,0,15,0.0,,,,,,,
2021-01-31,ACO,CO,6,15,0.0,,,,,,,
2021-01-31,ACO,CO,12,15,0.0,,,,,,,
2021-01-31,ACO,CO,18,15,0.0,,,,,,,
2021-01-31,ACO,NO,0,1,0.0,,,,,,,
2021-01-31,ACO,NO,6,1,0.0,,,,,,,
2021-01-31,ACO,NO,12,1,0.0,,,,,,,
2021-01-31,ACO,NO,18,1,0.0,,,,,,,
2021-01-31,ACO,NO2,0,1,0.0,,,,,,,
2021-01-31,ACO,NO2,6,1,0.0,,,,,,,
2021-01-31,ACO,NO2,12,1,0.0,,,,,,,
2021-01-31,ACO,NO2,18,1,0.0,,,,,,,
2021-01-31,ACO,NOX,0,1,0.0,,,,,,,
2021-01-31,ACO,NOX,6,1,0.0,,,,,,,
2021-01-31,ACO,NOX,12,1,0.0,,,,,,,
2021-01-31,ACO,NOX,18,1,0.0,,,,,,,
2021-01-31,ACO,O3,0,1,0.0,,,,,,,
2021-01-31,ACO,O3,6,1,0.0,,,,,,,
2021-01-31,ACO,O3,12,1,0.0,,,,,,,
2021-01-31,ACO,O3,18,1,0.0,,,,,,,
2021-01-31,ACO,PM10,0,2,31.0,61.56129032258065,29.749326910249636,9.0,36.3,57.0,86.9,113.2
2021-01-31,ACO,PM10,6,2,31.0,53.262365591397845,18.14210927737616,12.333333333333334,40.33333333333333,55.333333333333336,63.65,80.83333333333333
2021-01-31,ACO,PM10,12,2,30.0,50.023333333333326,20.302715123335357,14.0,37.925000000000004,49.25,65.125,101.83333333333331
2021-01-31,ACO,PM10,18,2,31.0,69.85483870967742,20.20399400996248,24.33333333333333,58.33333333333333,67.83333333333333,77.33333333333333,128.5
2021-01-31,ACO,SO2,0,1,0.0,,,,,,,
2021-01-31,ACO,SO2,6,1,0.0,,,,,,,
2021-01-31,ACO,SO2,12,1,0.0,,,,,,,
2021-01-31,ACO,SO2,18,1,0.0,,,,,,,
2021-01-31,AJM,CO,0,15,0.0,,,,,,,
2021-01-31,AJM,CO,6,15,0.0,,,,,,,
2021-01-31,AJM,CO,12,15,0.0,,,,,,,
2021-01-31,AJM,CO,18,15,0.0,,,,,,,
2021-01-31,AJM,NO,0,1,0.0,,,,,,,
2021-01-31,AJM,NO,6,1,0.0,,,,,,,
2021-01-31,AJM,NO,12,1,0.0,,,,,,,
2021-01-31,AJM,NO,18,1,0.0,,,,,,,
2021-01-31,AJM,NO2,0,1,0.0,,,,,,,
2021-01-31,AJM,NO2,6,1,0.0,,,,,,,
2021-01-31,AJM,NO2,12,1,0.0,,,,,,,
2021-01-31,AJM,NO2,18,1,0.0,,,,,,,
2021-01-31,AJM,NOX,0,1,0.0,,,,,,,
2021-01-31,AJM,NOX,6,1,0.0,,,,,,,
2021-01-31,AJM,NOX,12,1,0.0,,,,,,,
2021-01-31,AJM,NOX,18,1,0.0,,,,,,,
2021-01-31,AJM,O3,0,1,0.0,,,,,,,
2021-01-31,AJM,O3,6,1,0.0,,,,,,,
2021-01-31,AJM,O3,12,1,0.0,,,,,,,
2021-01-31,AJM,O3,18,1,0.0,,,,,,,
2021-01-31,AJM,PM10,0,2,0.0,,,,,,,
2021-01-31,AJM,PM10,6,2,0.0,,,,,,,
2021-01-31,AJM,PM10,12,2,0.0,,,,,,,
2021-01-31,AJM,PM10,18,2,0.0,,,,,,,
2021-01-31,AJM,PM2.5,0,2,0.0,,,,,,,
2021-01-31,AJM,PM2.5,6,2,0.0,,,,,,,
2021-01-31,AJM,PM2.5,12,2,0.0,,,,,,,
2021-01-31,AJM,PM2.5,18,2,0.0,,,,,,,
2021-01-31,AJM,PMCO,0,2,0.0,,,,,,,
2021-01-31,AJM,PMCO,6,2,0.0,,,,,,,
2021-01-31,AJM,PMCO,12,2,0.0,,,,,,,
2021-01-31,AJM,PMCO,18,2,0.0,,,,,,,
2021-01-31,AJM,SO2,0,1,0.0,,,,,,,
2021-01-31,AJM,SO2,6,1,0.0,,,,,,,
2021-01-31,AJM,SO2,12,1,0.0,,,,,,,
2021-01-31,AJM,SO2,18,1,0.0,,,,,,,
2021-01-31,AJU,O3,0,1,16.0,11.950000000000001,8.9359946284675,0.2,5.725,10.2,15.95,29.5
2021-01-31,AJU,O3,6,1,16.0,15.421875000000002,7.849479149387344,1.75,10.958333333333334,12.833333333333334,20.58333333333333,33.0
2021-01-31,AJU,O3,12,1,16.0,47.89166666666666,10.616412869807872,28.166666666666668,45.79166666666666,48.583333333333336,51.46666666666666,72.66666666666667
2021-01-31,AJU,O3,18,1,15.0,26.744444444444444,12.012207194896433,3.0,20.75,25.166666666666668,34.166666666666664,50.16666666666666
2021-01-31,AJU,PM2.5,0,2,0.0,,,,,,,
2021-01-31,AJU,PM2.5,6,2,0.0,,,,,,,
2021-01-31,AJU,PM2.5,12,2,0.0,,,,,,,
2021-01-31,AJU,PM2.5,18,2,0.0,,,,,,,
2021-01-31,ATI,CO,0,15,31.0,0.26161290322580644,0.1335189568112221,0.0,0.2,0.22,0.31999999999999995,0.58
2021-01-31,ATI,CO,6,15,31.0,0.6016129032258063,0.20350424687122298,0.1333333333333333,0.4916666666666667,0.6166666666666666,0.7250000000000001,0.9833333333333332
2021-01-31,ATI,CO,12,15,31.0,0.28924731182795693,0.12364438157225226,0.0666666666666666,0.1999999999999999,0.3,0.3583333333333333,0.5666666666666667
2021-01-31,ATI,CO,18,15,31.0,0.3844086021505376,0.12110108143008648,0.1666666666666666,0.2833333333333333,0.4333333333333333,0.4666666666666666,0.6333333333333333
2021-01-31,ATI,NO,0,1,31.0,2.416129032258064,3.38674836917788,0.0,0.6,1.2,2.1,13.6
