,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2016-01-31,ACO,CO,0,15,0.0,,,,,,,
2016-01-31,ACO,CO,6,15,0.0,,,,,,,
2016-01-31,ACO,CO,12,15,0.0,,,,,,,
2016-01-31,ACO,CO,18,15,0.0,,,,,,,
2016-01-31,ACO,NO,0,1,0.0,,,,,,,
2016-01-31,ACO,NO,6,1,0.0,,,,,,,
2016-01-31,ACO,NO,12,1,0.0,,,,,,,
2016-01-31,ACO,NO,18,1,0.0,,,,,,,
2016-01-31,ACO,NO2,0,1,0.0,,,,,,,
2016-01-31,ACO,NO2,6,1,0.0,,,,,,,
2016-01-31,ACO,NO2,12,1,0.0,,,,,,,
2016-01-31,ACO,NO2,18,1,0.0,,,,,,,
2016-01-31,ACO,NOX,0,1,0.0,,,,,,,
2016-01-31,ACO,NOX,6,1,0.0,,,,,,,
2016-01-31,ACO,NOX,12,1,0.0,,,,,,,
2016-01-31,ACO,NOX,18,1,0.0,,,,,,,
2016-01-31,ACO,O3,0,1,0.0,,,,,,,
2016-01-31,ACO,O3,6,1,0.0,,,,,,,
2016-01-31,ACO,O3,12,1,0.0,,,,,,,
2016-01-31,ACO,O3,18,1,0.0,,,,,,,
2016-01-31,ACO,PM10,0,2,29.0,51.648275862068964,32.594156144596305,15.0,36.0,41.8,61.2,148.6
2016-01-31,ACO,PM10,6,2,29.0,45.98620689655172,21.150300229099862,8.0,30.0,42.5,58.66666666666666,89.83333333333333
2016-01-31,ACO,PM10,12,2,29.0,43.75919540229884,21.93277227635228,5.5,29.166666666666668,43.333333333333336,55.6,113.83333333333331
2016-01-31,ACO,PM10,18,2,29.0,61.741379310344826,28.76838908816358,19.166666666666668,45.0,56.5,70.5,142.66666666666666
2016-01-31,ACO,SO2,0,1,0.0,,,,,,,
2016-01-31,ACO,SO2,6,1,0.0,,,,,,,
2016-01-31,ACO,SO2,12,1,0.0,,,,,,,
2016-01-31,ACO,SO2,18,1,0.0,,,,,,,
2016-01-31,AJM,CO,0,15,31.0,0.4587096774193547,0.19097542486724778,0.2,0.31,0.4599999999999999,0.555,0.94
2016-01-31,AJM,CO,6,15,31.0,0.6793548387096775,0.2370894804590135,0.2833333333333334,0.5,0.6499999999999999,0.8,1.2833333333333334
2016-01-31,AJM,CO,12,15,31.0,0.7086021505376344,0.3018422131260813,0.3166666666666667,0.5166666666666666,0.6166666666666667,0.7999999999999999,1.9
2016-01-31,AJM,CO,18,15,31.0,0.6370967741935484,0.29598265957151126,0.3166666666666666,0.4083333333333333,0.5499999999999999,0.7583333333333333,1.633333333333333
2016-01-31,AJM,NO,0,1,31.0,0.9967741935483869,1.8385653593617932,0.0,0.0,0.2,1.2999999999999998,8.0
2016-01-31,AJM,NO,6,1,31.0,12.96666666666667,10.842355217694479,2.5,7.416666666666666,11.166666666666666,13.5,49.5
2016-01-31,AJM,NO,12,1,31.0,7.516129032258065,8.868416163942115,1.6666666666666667,3.583333333333333,5.333333333333333,6.75,48.5
2016-01-31,AJM,NO,18,1,31.0,4.172043010752687,5.77806898907696,0.6666666666666666,1.4166666666666665,2.0,2.833333333333333,22.83333333333333
2016-01-31,AJM,NO2,0,1,31.0,14.548387096774194,10.289375457812197,3.4,6.4,13.0,18.7,50.5
2016-01-31,AJM,NO2,6,1,31.0,20.759677419354844,8.598914417048956,7.5,15.125,17.166666666666668,26.0,48.833333333333336
2016-01-31,AJM,NO2,12,1,31.0,21.946236559139788,16.210386879152637,2.5,13.333333333333332,16.0,24.833333333333336,85.33333333333333
2016-01-31,AJM,NO2,18,1,31.0,22.741935483870964,16.680318781352796,5.166666666666667,9.833333333333332,18.5,31.416666666666664,86.33333333333333
2016-01-31,AJM,NOX,0,1,31.0,15.64838709677419,11.404030602313142,3.4,6.5,13.4,20.200000000000003,53.5
2016-01-31,AJM,NOX,6,1,31.0,33.714516129032255,18.36863910659782,9.666666666666666,22.916666666666668,31.0,39.08333333333333,96.83333333333331
2016-01-31,AJM,NOX,12,1,31.0,29.499999999999996,24.52685602898722,4.5,17.166666666666664,22.0,30.916666666666668,134.0
2016-01-31,AJM,NOX,18,1,31.0,26.88709677419355,20.322601316103345,6.666666666666667,11.333333333333334,20.33333333333333,34.33333333333333,102.0
2016-01-31,AJM,O3,0,1,31.0,32.68064516129032,14.612333132319852,6.5,23.7,34.2,41.6,67.0
2016-01-31,AJM,O3,6,1,31.0,27.638709677419357,11.433767716964336,5.666666666666667,17.916666666666668,29.0,34.0,50.333333333333336
2016-01-31,AJM,O3,12,1,31.0,56.44086021505375,21.11075504321491,22.0,39.41666666666667,56.66666666666666,68.16666666666667,98.66666666666669
2016-01-31,AJM,O3,18,1,31.0,37.107526881720425,16.16669807483185,3.333333333333333,30.166666666666668,35.666666666666664,43.33333333333333,81.5
2016-01-31,AJM,PM10,0,2,27.0,27.551851851851854,24.18918019996624,3.4,7.0,25.0,36.0,99.4
2016-01-31,AJM,PM10,6,2,28.0,32.607142857142854,24.39229345534687,5.5,17.0,25.416666666666668,42.25,114.66666666666669
2016-01-31,AJM,PM10,12,2,28.0,44.883333333333326,27.037233129679556,5.5,26.966666666666665,39.58333333333333,53.125,120.33333333333331
2016-01-31,AJM,PM10,18,2,27.0,41.22222222222222,26.60401293552355,5.5,17.416666666666668,40.833333333333336,57.91666666666666,112.66666666666669
2016-01-31,AJM,PM2.5,0,2,27.0,16.642592592592592,16.57601779972699,2.4,4.0,13.6,20.5,72.6
2016-01-31,AJM,PM2.5,6,2,28.0,18.732142857142858,18.325606636959687,2.333333333333333,7.333333333333333,11.833333333333332,25.166666666666668,90.16666666666669
