,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2010-01-31,ACO,O3,0,1,29.0,7.127586206896551,7.63615210466091,0.2,1.8,4.0,9.4,25.6
2010-01-31,ACO,O3,6,1,29.0,10.46436781609195,5.96410513674112,2.8,6.666666666666667,9.333333333333334,11.833333333333334,31.666666666666668
2010-01-31,ACO,O3,12,1,28.0,50.69464285714286,21.757718962143667,12.0,38.33333333333333,46.66666666666667,59.625,95.6
2010-01-31,ACO,O3,18,1,29.0,25.13563218390804,11.583635422694869,3.8333333333333335,18.0,23.33333333333333,33.0,52.16666666666666
2010-01-31,ACO,PM2.5,0,2,28.0,20.469642857142855,11.328710979644482,4.75,10.9,19.75,24.3125,46.8
2010-01-31,ACO,PM2.5,6,2,29.0,19.679310344827588,7.505175007176149,6.0,14.166666666666666,20.5,24.5,34.333333333333336
2010-01-31,ACO,PM2.5,12,2,29.0,15.293678160919539,7.6648812799401815,3.6666666666666665,10.0,14.0,21.33333333333333,32.333333333333336
2010-01-31,ACO,PM2.5,18,2,29.0,19.00804597701149,8.23864733644538,7.0,12.25,17.333333333333332,24.83333333333333,40.8
2010-01-31,ACO,SO2,0,1,30.0,3.055555555555556,4.0461000884711105,0.0,0.0,1.9,4.5625,18.8
2010-01-31,ACO,SO2,6,1,29.0,4.603448275862069,5.778726344179964,0.0,0.8333333333333334,3.0,6.166666666666667,29.5
2010-01-31,ACO,SO2,12,1,28.0,3.4702380952380953,3.8217924961460015,0.0,0.4583333333333333,3.425,4.466666666666667,17.666666666666668
2010-01-31,ACO,SO2,18,1,29.0,2.81264367816092,2.6313949133356713,0.0,0.1666666666666666,2.6666666666666665,4.5,10.666666666666666
2010-01-31,ARA,SO2,0,1,0.0,,,,,,,
2010-01-31,ARA,SO2,6,1,0.0,,,,,,,
2010-01-31,ARA,SO2,12,1,0.0,,,,,,,
2010-01-31,ARA,SO2,18,1,0.0,,,,,,,
2010-01-31,ATI,NO,0,1,30.0,8.133333333333333,11.698079221447614,0.0,0.0,1.2000000000000002,15.0,35.2
2010-01-31,ATI,NO,6,1,30.0,50.25722222222222,33.556874487222636,0.1666666666666666,24.499999999999996,45.16666666666666,80.29166666666666,111.66666666666669
2010-01-31,ATI,NO,12,1,31.0,6.549462365591398,4.477779467612655,0.0,3.833333333333333,5.833333333333333,8.416666666666666,20.5
2010-01-31,ATI,NO,18,1,30.0,12.398888888888886,12.194290741663062,0.0,1.5416666666666667,8.416666666666668,19.991666666666667,41.16666666666666
2010-01-31,ATI,NO2,0,1,30.0,23.13555555555556,9.88096949240478,7.6,18.45,22.7,27.0,50.6
2010-01-31,ATI,NO2,6,1,30.0,31.202777777777772,11.723010155828806,11.5,22.708333333333332,28.5,42.041666666666664,55.5
2010-01-31,ATI,NO2,12,1,31.0,29.532258064516128,12.563823680389799,8.166666666666666,22.0,27.666666666666668,40.5,50.4
2010-01-31,ATI,NO2,18,1,30.0,30.13777777777778,10.644829418965628,14.0,24.125,27.08333333333333,36.458333333333336,59.5
2010-01-31,ATI,NOX,0,1,30.0,30.000000000000004,20.18548471311621,6.4,16.25,22.299999999999997,43.150000000000006,82.0
2010-01-31,ATI,NOX,6,1,30.0,81.2538888888889,43.46532807757745,9.666666666666666,46.125,78.25,119.49999999999999,167.33333333333334
2010-01-31,ATI,NOX,12,1,31.0,35.56881720430106,14.720952403478242,7.666666666666667,26.766666666666666,39.66666666666666,46.41666666666666,59.66666666666666
2010-01-31,ATI,NOX,18,1,30.0,42.017777777777766,19.734703535322623,15.0,27.749999999999996,40.75,48.25,90.0
2010-01-31,ATI,SO2,0,1,31.0,9.754838709677419,12.913941786810026,1.8,2.3,3.0,8.5,50.4
2010-01-31,ATI,SO2,6,1,31.0,7.433333333333333,4.847259630546514,2.0,3.916666666666667,5.666666666666667,10.5,18.6
2010-01-31,ATI,SO2,12,1,31.0,6.626881720430107,5.5280457959916225,2.0,2.833333333333333,4.166666666666667,8.45,25.83333333333333
2010-01-31,ATI,SO2,18,1,31.0,15.330107526881719,19.48640429146113,2.0,3.0,4.0,19.583333333333336,71.33333333333333
2010-01-31,AZC,NO,0,1,30.0,19.593333333333337,19.018646627460896,0.0,3.85,11.399999999999999,36.35,59.8
2010-01-31,AZC,NO,6,1,30.0,73.45611111111113,42.21657726808794,0.3333333333333333,41.75,74.41666666666666,105.41666666666667,154.33333333333334
2010-01-31,AZC,NO,12,1,30.0,12.272222222222219,8.049949826517606,0.0,6.958333333333333,11.166666666666666,13.458333333333332,35.0
2010-01-31,AZC,NO,18,1,30.0,21.452777777777783,21.002162853103997,1.5,6.583333333333333,12.666666666666668,31.4375,92.0
2010-01-31,AZC,NO2,0,1,30.0,27.906666666666663,9.608147883287728,3.2,22.6,28.6,34.25,50.8
2010-01-31,AZC,NO2,6,1,30.0,36.92055555555556,14.452956904462415,10.833333333333334,26.666666666666668,34.83333333333333,45.0,67.33333333333333
2010-01-31,AZC,NO2,12,1,30.0,34.111111111111114,18.270127898717742,7.0,23.83333333333333,30.166666666666668,44.833333333333336,81.5
2010-01-31,AZC,NO2,18,1,30.0,36.06666666666667,14.999208152790198,14.0,28.45833333333333,32.08333333333333,44.5,80.0
2010-01-31,AZC,NOX,0,1,30.0,47.38000000000001,24.75888415958171,5.0,27.75,40.400000000000006,72.05,94.6
2010-01-31,AZC,NOX,6,1,30.0,110.23055555555553,54.04549986110102,10.666666666666666,68.0,106.3,151.33333333333331,217.16666666666663
2010-01-31,AZC,NOX,12,1,30.0,46.28333333333333,22.83294109907255,8.5,35.375,43.25,61.75,97.83333333333331
2010-01-31,AZC,NOX,18,1,30.0,57.427777777777784,30.526343228542274,18.0,32.70833333333333,55.41666666666667,68.04166666666666,144.83333333333334
