,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2018-01-31,ACO,CO,0,15,30.0,0.25766666666666665,0.14583134645608742,0.02,0.1525,0.21999999999999995,0.39,0.6599999999999999
2018-01-31,ACO,CO,6,15,31.0,0.45172043010752694,0.16675302422209992,0.0833333333333333,0.3333333333333333,0.4666666666666666,0.5416666666666667,0.7666666666666666
2018-01-31,ACO,CO,12,15,30.0,0.19833333333333328,0.06994113562208783,0.0833333333333333,0.13749999999999998,0.1999999999999999,0.2333333333333333,0.3666666666666666
2018-01-31,ACO,CO,18,15,30.0,0.2602222222222222,0.13951457533363185,0.0999999999999999,0.17083333333333328,0.2333333333333333,0.29583333333333334,0.6166666666666667
2018-01-31,ACO,NO,0,1,31.0,8.867741935483872,10.003612250808011,1.0,3.3,4.5,10.5,46.8
2018-01-31,ACO,NO,6,1,31.0,25.193548387096772,14.319185315525406,2.1666666666666665,15.083333333333332,23.166666666666668,33.75,55.0
2018-01-31,ACO,NO,12,1,30.0,4.527777777777777,2.2141496094382904,1.6666666666666667,2.6666666666666665,3.916666666666667,5.833333333333333,11.0
2018-01-31,ACO,NO,18,1,30.0,5.0344444444444445,5.7245152939976744,1.6666666666666667,2.2333333333333334,3.4166666666666665,5.333333333333333,32.833333333333336
2018-01-31,ACO,NO2,0,1,31.0,22.899999999999995,7.516293412757824,7.0,17.25,23.8,26.0,39.8
2018-01-31,ACO,NO2,6,1,31.0,22.779569892473116,5.713918532323181,12.833333333333334,18.416666666666668,22.5,27.416666666666664,34.833333333333336
2018-01-31,ACO,NO2,12,1,30.0,16.32777777777778,3.958956897849403,8.333333333333334,13.666666666666666,15.416666666666668,19.416666666666668,25.33333333333333
2018-01-31,ACO,NO2,18,1,30.0,22.350000000000005,6.478870756815951,13.666666666666666,17.666666666666668,21.25,26.125,40.0
2018-01-31,ACO,NOX,0,1,31.0,31.74516129032258,15.722676589556402,8.0,21.3,29.2,37.6,79.2
2018-01-31,ACO,NOX,6,1,31.0,47.96236559139785,17.741336418690302,14.833333333333334,34.66666666666666,46.833333333333336,59.833333333333336,83.0
2018-01-31,ACO,NOX,12,1,30.0,20.849999999999998,5.792112155197861,10.333333333333334,17.041666666666668,19.666666666666664,24.833333333333332,34.166666666666664
2018-01-31,ACO,NOX,18,1,30.0,27.40666666666667,11.074790675482182,15.333333333333334,21.333333333333332,24.833333333333336,30.124999999999996,73.0
2018-01-31,ACO,O3,0,1,30.0,5.586666666666667,6.052912284713598,1.0,2.2,3.55,5.4,30.5
2018-01-31,ACO,O3,6,1,31.0,5.198924731182794,4.04955858473276,1.5,2.75,3.8333333333333335,6.166666666666666,20.666666666666668
2018-01-31,ACO,O3,12,1,30.0,23.92777777777778,7.794496945339498,7.833333333333333,20.33333333333333,23.5,30.041666666666668,40.0
2018-01-31,ACO,O3,18,1,30.0,10.891111111111112,3.927717921582429,2.1666666666666665,7.708333333333334,10.833333333333334,14.125,17.4
2018-01-31,ACO,PM10,0,2,31.0,67.27741935483871,38.69824035342709,2.0,35.400000000000006,61.4,100.19999999999999,154.4
2018-01-31,ACO,PM10,6,2,31.0,65.86021505376343,28.07625518364933,10.333333333333334,44.25,62.5,88.91666666666666,115.66666666666669
2018-01-31,ACO,PM10,12,2,31.0,54.45806451612904,19.996973785387546,9.2,44.0,51.5,64.83333333333333,93.0
2018-01-31,ACO,PM10,18,2,31.0,77.41129032258061,33.83539221625365,13.166666666666666,53.66666666666666,81.83333333333333,92.91666666666669,148.83333333333334
2018-01-31,ACO,SO2,0,1,27.0,1.4074074074074074,0.8366259737439546,0.4,1.0,1.0,1.5,4.0
2018-01-31,ACO,SO2,6,1,28.0,2.066666666666667,1.0396263969655106,1.0,1.3333333333333333,1.6666666666666667,2.583333333333333,4.666666666666667
2018-01-31,ACO,SO2,12,1,27.0,2.728395061728395,2.0719680496106005,1.0,1.0,1.5,3.583333333333333,7.5
2018-01-31,ACO,SO2,18,1,27.0,1.845679012345679,1.682568959436886,1.0,1.0,1.3333333333333333,1.6666666666666665,9.0
2018-01-31,AJM,CO,0,15,30.0,0.2596666666666667,0.1315552416637034,0.02,0.18,0.23499999999999993,0.3,0.62
2018-01-31,AJM,CO,6,15,30.0,0.4683888888888889,0.15064642533480777,0.125,0.35416666666666663,0.4583333333333333,0.5650000000000001,0.8666666666666667
2018-01-31,AJM,CO,12,15,29.0,0.4367816091954022,0.13065610610452685,0.1999999999999999,0.35,0.4333333333333333,0.4833333333333333,0.7666666666666666
2018-01-31,AJM,CO,18,15,29.0,0.37873563218390804,0.13793377118248376,0.15,0.2833333333333334,0.3833333333333333,0.45,0.7333333333333334
2018-01-31,AJM,NO,0,1,30.0,0.8966666666666666,1.2853238779639815,0.0,0.0,0.45,1.15,5.6
2018-01-31,AJM,NO,6,1,30.0,14.009999999999998,7.971136388600468,3.5,8.208333333333334,12.4,17.875,40.0
2018-01-31,AJM,NO,12,1,29.0,6.804597701149425,3.39703096483183,2.333333333333333,4.0,6.166666666666667,8.833333333333334,14.666666666666666
2018-01-31,AJM,NO,18,1,29.0,2.2068965517241375,1.5116316032670198,0.3333333333333333,1.3333333333333333,1.6666666666666667,2.833333333333333,6.833333333333333
2018-01-31,AJM,NO2,0,1,30.0,16.540000000000003,7.800557009289299,8.4,10.7,14.6,18.7,37.0
2018-01-31,AJM,NO2,6,1,30.0,24.83777777777778,5.742246035085792,15.0,20.166666666666668,25.25,28.33333333333333,37.5
2018-01-31,AJM,NO2,12,1,29.0,24.764367816091955,7.760875272978991,12.833333333333334,18.5,25.33333333333333,29.666666666666668,42.333333333333336
