,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2011-01-31,ACO,CO,0,15,0.0,,,,,,,
2011-01-31,ACO,CO,6,15,0.0,,,,,,,
2011-01-31,ACO,CO,12,15,0.0,,,,,,,
2011-01-31,ACO,CO,18,15,0.0,,,,,,,
2011-01-31,ACO,NO,0,1,0.0,,,,,,,
2011-01-31,ACO,NO,6,1,0.0,,,,,,,
2011-01-31,ACO,NO,12,1,0.0,,,,,,,
2011-01-31,ACO,NO,18,1,0.0,,,,,,,
2011-01-31,ACO,NO2,0,1,0.0,,,,,,,
2011-01-31,ACO,NO2,6,1,0.0,,,,,,,
2011-01-31,ACO,NO2,12,1,0.0,,,,,,,
2011-01-31,ACO,NO2,18,1,0.0,,,,,,,
2011-01-31,ACO,NOX,0,1,0.0,,,,,,,
2011-01-31,ACO,NOX,6,1,0.0,,,,,,,
2011-01-31,ACO,NOX,12,1,0.0,,,,,,,
2011-01-31,ACO,NOX,18,1,0.0,,,,,,,
2011-01-31,ACO,O3,0,1,30.0,9.358333333333336,9.465600909330197,1.0,3.8,5.8,9.75,44.6
2011-01-31,ACO,O3,6,1,30.0,13.013333333333337,3.5845517842894763,8.666666666666666,10.791666666666666,12.083333333333332,14.383333333333333,25.83333333333333
2011-01-31,ACO,O3,12,1,31.0,58.89032258064516,10.503908244600751,39.833333333333336,50.41666666666667,58.5,64.5,78.16666666666667
2011-01-31,ACO,O3,18,1,31.0,33.88709677419355,8.655812337166774,20.666666666666668,28.25,33.0,39.08333333333333,60.0
2011-01-31,ACO,PM10,0,2,0.0,,,,,,,
2011-01-31,ACO,PM10,6,2,0.0,,,,,,,
2011-01-31,ACO,PM10,12,2,0.0,,,,,,,
2011-01-31,ACO,PM10,18,2,0.0,,,,,,,
2011-01-31,ACO,SO2,0,1,30.0,0.46,1.0063933556054991,0.0,0.0,0.0,0.2,4.6
2011-01-31,ACO,SO2,6,1,30.0,1.494444444444444,1.3336805103560987,0.0,0.7083333333333333,1.1666666666666667,1.9583333333333333,6.5
2011-01-31,ACO,SO2,12,1,31.0,1.0193548387096774,1.807223657345778,0.0,0.0,0.1666666666666666,1.0,6.0
2011-01-31,ACO,SO2,18,1,31.0,0.7580645161290323,1.7526903709553687,0.0,0.0,0.0,0.41666666666666663,6.833333333333333
2011-01-31,ATI,NO,0,1,31.0,6.212903225806453,8.619348078034822,0.0,0.6000000000000001,3.6,7.1,35.4
2011-01-31,ATI,NO,6,1,31.0,60.53655913978494,32.737824261784105,5.666666666666667,26.5,63.333333333333336,84.48333333333333,120.16666666666669
2011-01-31,ATI,NO,12,1,31.0,7.231182795698925,4.2747487297511375,1.8333333333333333,3.6666666666666665,6.666666666666667,9.25,17.5
2011-01-31,ATI,NO,18,1,31.0,9.064516129032258,6.853990108412228,0.5,4.083333333333333,7.5,12.666666666666666,30.166666666666668
2011-01-31,ATI,NO2,0,1,31.0,21.658064516129034,8.563362820510346,5.2,16.4,21.2,25.6,46.6
2011-01-31,ATI,NO2,6,1,31.0,35.049462365591395,9.753095884432994,13.5,29.25,37.333333333333336,41.41666666666666,52.66666666666666
2011-01-31,ATI,NO2,12,1,31.0,23.529569892473113,11.306064997812767,3.8333333333333335,13.833333333333332,23.0,32.16666666666667,43.5
2011-01-31,ATI,NO2,18,1,31.0,26.575268817204304,9.723476621585192,12.166666666666666,19.666666666666664,23.666666666666668,34.75,45.0
2011-01-31,ATI,NOX,0,1,31.0,27.69032258064515,16.252330188595725,6.0,17.0,24.4,32.099999999999994,82.0
2011-01-31,ATI,NOX,6,1,31.0,95.5537634408602,40.52556091180292,19.0,56.25,104.5,123.33333333333334,160.66666666666666
2011-01-31,ATI,NOX,12,1,31.0,30.690860215053767,14.952566879047938,5.5,17.5,31.83333333333333,41.16666666666667,60.66666666666666
2011-01-31,ATI,NOX,18,1,31.0,35.575268817204304,12.90641806389919,15.166666666666666,25.916666666666664,35.833333333333336,43.16666666666667,74.83333333333333
2011-01-31,ATI,SO2,0,1,31.0,6.993548387096775,11.043125628911138,0.0,1.0,2.6,6.1,41.0
2011-01-31,ATI,SO2,6,1,31.0,5.746236559139785,6.780061604764123,0.0,2.333333333333333,4.166666666666667,6.083333333333334,33.166666666666664
2011-01-31,ATI,SO2,12,1,31.0,3.9166666666666665,4.03187531038827,0.0,1.6666666666666667,3.0,4.833333333333334,20.83333333333333
2011-01-31,ATI,SO2,18,1,31.0,8.25806451612903,11.456830302202992,0.0,1.25,2.1666666666666665,9.75,42.333333333333336
2011-01-31,CAM,CO,0,15,0.0,,,,,,,
2011-01-31,CAM,CO,6,15,0.0,,,,,,,
2011-01-31,CAM,CO,12,15,0.0,,,,,,,
2011-01-31,CAM,CO,18,15,0.0,,,,,,,
2011-01-31,CAM,NO,0,1,0.0,,,,,,,
2011-01-31,CAM,NO,6,1,0.0,,,,,,,
2011-01-31,CAM,NO,12,1,0.0,,,,,,,
2011-01-31,CAM,NO,18,1,0.0,,,,,,,
2011-01-31,CAM,NO2,0,1,0.0,,,,,,,
2011-01-31,CAM,NO2,6,1,0.0,,,,,,,
2011-01-31,CAM,NO2,12,1,0.0,,,,,,,
2011-01-31,CAM,NO2,18,1,0.0,,,,,,,
2011-01-31,CAM,NOX,0,1,0.0,,,,,,,
2011-01-31,CAM,NOX,6,1,0.0,,,,,,,
2011-01-31,CAM,NOX,12,1,0.0,,,,,,,
2011-01-31,CAM,NOX,18,1,0.0,,,,,,,
2011-01-31,CAM,O3,0,1,0.0,,,,,,,
2011-01-31,CAM,O3,6,1,0.0,,,,,,,
2011-01-31,CAM,O3,12,1,0.0,,,,,,,
2011-01-31,CAM,O3,18,1,0.0,,,,,,,
2011-01-31,CAM,PM10,0,2,0.0,,,,,,,
