,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2012-01-01,ACO,CO,15,23.0,0.5869565217391304,0.43828627820190663,0.1,0.2,0.4,1.05,1.3
2012-01-01,ACO,NO,1,23.0,5.217391304347826,4.776424316265448,1.0,2.0,2.0,8.5,16.0
2012-01-01,ACO,NO2,1,23.0,11.652173913043478,8.45097463799388,3.0,5.0,8.0,17.5,31.0
2012-01-01,ACO,NOX,1,23.0,17.043478260869566,12.141133168881147,4.0,6.5,11.0,27.5,38.0
2012-01-01,ACO,O3,1,23.0,22.652173913043477,16.145949944327928,1.0,5.5,25.0,36.5,52.0
2012-01-01,ACO,PM10,2,23.0,65.69565217391305,41.00713328479759,13.0,33.0,49.0,113.0,133.0
2012-01-01,ACO,SO2,1,23.0,4.130434782608695,2.6680661676762845,1.0,2.0,4.0,5.5,11.0
2012-01-01,ATI,NO,1,23.0,3.5217391304347827,3.603906532152313,0.0,1.0,2.0,4.0,13.0
2012-01-01,ATI,NO2,1,23.0,17.565217391304348,8.627788545036648,9.0,11.0,15.0,25.0,37.0
2012-01-01,ATI,NOX,1,23.0,20.91304347826087,11.665462011963745,10.0,12.0,17.0,27.0,47.0
2012-01-01,ATI,SO2,1,23.0,4.0,3.6181361349331636,0.0,1.5,3.0,5.0,17.0
2012-01-01,CAM,CO,15,23.0,1.0347826086956524,0.5490559630792524,0.5,0.5,0.8,1.55,1.9
2012-01-01,CAM,NO,1,23.0,22.391304347826086,20.814634559792484,2.0,5.0,10.0,33.0,64.0
2012-01-01,CAM,NO2,1,23.0,26.391304347826086,14.183021637394425,9.0,14.5,29.0,35.0,56.0
2012-01-01,CAM,NOX,1,23.0,48.65217391304348,32.89737305850115,11.0,20.0,39.0,78.0,110.0
2012-01-01,CAM,O3,1,23.0,18.130434782608695,17.866434623785686,1.0,1.0,17.0,29.0,58.0
2012-01-01,CAM,PM10,2,23.0,74.47826086956522,44.04942427156258,19.0,34.0,58.0,118.5,141.0
2012-01-01,CAM,PM2.5,2,23.0,55.34782608695652,41.65617786295566,5.0,16.0,45.0,98.5,118.0
2012-01-01,CAM,PMCO,2,23.0,19.043478260869566,6.512074525410926,8.0,14.5,18.0,23.0,31.0
2012-01-01,CAM,SO2,1,23.0,4.304347826086956,3.8780827339936415,1.0,1.0,3.0,5.5,14.0
2012-01-01,CHO,CO,15,22.0,1.4772727272727273,0.7043617970372478,0.5,0.925,1.35,2.075,2.7
2012-01-01,CHO,NO,1,0.0,,,,,,,
2012-01-01,CHO,NO2,1,0.0,,,,,,,
2012-01-01,CHO,NOX,1,0.0,,,,,,,
2012-01-01,CHO,O3,1,23.0,22.043478260869566,21.728653601909592,3.0,4.5,15.0,36.0,79.0
2012-01-01,CHO,SO2,1,23.0,3.217391304347826,2.2351839814274888,1.0,2.0,2.0,5.0,8.0
2012-01-01,COY,NO,1,23.0,27.304347826086957,29.930882170592323,3.0,4.0,5.0,56.0,82.0
2012-01-01,COY,NO2,1,23.0,29.26086956521739,21.13208975447777,7.0,14.5,25.0,38.0,93.0
2012-01-01,COY,NOX,1,23.0,56.43478260869565,46.74284202562368,10.0,18.0,32.0,93.0,165.0
2012-01-01,COY,O3,1,23.0,21.391304347826086,20.16238426204686,1.0,2.0,17.0,37.5,58.0
2012-01-01,COY,PM2.5,2,21.0,73.38095238095238,58.74561787101757,1.0,11.0,74.0,126.0,166.0
2012-01-01,CUA,CO,15,0.0,,,,,,,
2012-01-01,CUA,NO,1,23.0,3.0,3.567530340063379,1.0,1.5,2.0,3.0,18.0
2012-01-01,CUA,NO2,1,23.0,17.47826086956522,11.551739598304474,5.0,9.5,11.0,24.0,43.0
2012-01-01,CUA,NOX,1,23.0,20.652173913043477,14.287975540967604,6.0,11.0,14.0,27.0,60.0
2012-01-01,CUA,O3,1,23.0,28.956521739130434,17.2191179714704,7.0,15.0,23.0,43.0,62.0
2012-01-01,CUA,SO2,1,23.0,3.217391304347826,1.8329440238224415,1.0,1.0,3.0,5.0,6.0
2012-01-01,FAC,CO,15,23.0,0.643478260869565,0.4998418722288096,0.2,0.2,0.3,1.0,1.9
2012-01-01,FAC,NO,1,23.0,14.652173913043478,13.12045140455497,4.0,7.0,9.0,17.5,62.0
2012-01-01,FAC,NO2,1,23.0,21.565217391304348,9.953647513059181,9.0,12.5,24.0,29.0,39.0
2012-01-01,FAC,NOX,1,23.0,36.130434782608695,21.509626487239462,15.0,19.5,34.0,44.0,97.0
2012-01-01,FAC,O3,1,23.0,22.695652173913043,19.302460471068297,3.0,4.0,19.0,38.0,58.0
2012-01-01,FAC,PM10,2,23.0,50.0,24.945394911139957,5.0,28.0,50.0,70.5,94.0
2012-01-01,FAC,SO2,1,23.0,2.9565217391304346,2.421086549269022,0.0,1.0,2.0,4.0,9.0
2012-01-01,IZT,CO,15,0.0,,,,,,,
2012-01-01,IZT,NO,1,23.0,36.82608695652174,45.52387203326608,0.0,1.5,4.0,88.0,118.0
2012-01-01,IZT,NO2,1,23.0,29.52173913043478,16.52510367239489,10.0,14.5,35.0,41.0,60.0
2012-01-01,IZT,NOX,1,23.0,66.34782608695652,57.00526984861869,10.0,17.0,44.0,127.0,165.0
2012-01-01,IZT,O3,1,23.0,20.17391304347826,18.972832667966063,2.0,2.0,17.0,33.0,60.0
2012-01-01,IZT,PM10,2,23.0,108.73913043478261,78.51358735409742,18.0,32.0,127.0,184.0,223.0
2012-01-01,IZT,SO2,1,23.0,3.9565217391304346,3.3368229428273013,0.0,1.0,4.0,6.0,11.0
2012-01-01,LLA,CO,15,23.0,1.0347826086956524,0.8911732285701576,0.1,0.25,0.5,2.05,2.4
2012-01-01,LLA,NO,1,0.0,,,,,,,
2012-01-01,LLA,NO2,1,0.0,,,,,,,
2012-01-01,LLA,NOX,1,0.0,,,,,,,
2012-01-01,LLA,O3,1,23.0,19.565217391304348,18.615306719707167,2.0,3.0,15.0,35.0,59.0
2012-01-01,LLA,SO2,1,23.0,5.478260869565218,3.553098074758668,2.0,2.0,5.0,8.0,13.0
2012-01-01,LPR,CO,15,23.0,0.9260869565217393,0.9559466470964066,0.0,0.0,0.8,1.85,2.5
2012-01-01,LPR,NO,1,23.0,24.130434782608695,28.382620078661596,0.0,2.5,5.0,47.0,78.0
2012-01-01,LPR,NO2,1,23.0,27.91304347826087,21.810991898328073,6.0,8.0,36.0,42.0,71.0
2012-01-01,LPR,NOX,1,23.0,52.130434782608695,44.78362560724226,6.0,11.0,41.0,92.0,131.0
2012-01-01,LPR,O3,1,23.0,23.391304347826086,18.172754657940757,3.0,3.5,26.0,36.5,55.0
2012-01-01,LPR,SO2,1,23.0,4.826086956521739,4.706399646062635,1.0,1.0,4.0,6.5,18.0
2012-01-01,MER,CO,15,23.0,1.2260869565217387,0.8894418021251244,0.3,0.4,1.0,2.0,2.6
2012-01-01,MER,NO,1,23.0,35.43478260869565,35.587058535061104,3.0,5.5,13.0,55.0,104.0
2012-01-01,MER,NO2,1,23.0,32.47826086956522,17.98198483638907,10.0,17.5,38.0,44.5,72.0
2012-01-01,MER,NOX,1,23.0,68.04347826086956,48.48099745905096,15.0,22.0,58.0,109.5,144.0
2012-01-01,MER,O3,1,23.0,18.956521739130434,18.237020941105598,1.0,2.0,15.0,32.5,59.0
2012-01-01,MER,PM10,2,23.0,100.17391304347827,64.78962611540456,19.0,41.0,90.0,152.0,223.0
2012-01-01,MER,PM2.5,2,23.0,66.69565217391305,56.16650148734621,5.0,11.0,62.0,109.0,172.0
2012-01-01,MER,PMCO,2,23.0,33.391304347826086,12.375706152248382,9.0,25.5,36.0,45.0,51.0
2012-01-01,MER,SO2,1,23.0,5.565217391304348,3.0275415612569785,2.0,2.0,7.0,8.0,10.0
2012-01-01,MON,CO,15,23.0,0.9347826086956519,0.7158013282342915,0.2,0.4,0.5,1.4500000000000002,2.5
2012-01-01,MON,NO,1,23.0,13.217391304347826,20.20116225670541,0.0,0.0,1.0,22.0,68.0
2012-01-01,MON,NO2,1,23.0,10.782608695652174,11.106740466692575,0.0,1.0,3.0,20.5,30.0
2012-01-01,MON,NOX,1,23.0,23.91304347826087,28.845848989977206,0.0,1.0,4.0,45.5,92.0
2012-01-01,MON,O3,1,23.0,27.043478260869566,12.726058665979835,8.0,16.0,27.0,36.5,52.0
2012-01-01,MON,SO2,1,23.0,4.130434782608695,2.563810158659231,2.0,2.0,3.0,5.5,9.0
2012-01-01,NEZ,CO,15,22.0,1.3863636363636365,0.8125770026781373,0.4,0.625,1.35,2.075,2.7
2012-01-01,NEZ,NO,1,22.0,19.772727272727273,19.978397424126978,1.0,4.0,7.5,37.0,57.0
2012-01-01,NEZ,NO2,1,22.0,24.863636363636363,11.494493317383617,8.0,13.5,29.0,32.75,43.0
2012-01-01,NEZ,NOX,1,22.0,44.5,28.678430587331327,10.0,16.0,43.0,74.75,90.0
2012-01-01,NEZ,O3,1,22.0,20.454545454545453,19.754992793209016,2.0,5.25,10.5,33.75,66.0
2012-01-01,NEZ,PM2.5,2,16.0,139.4375,78.8923052859614,4.0,95.75,152.5,191.25,249.0
2012-01-01,NEZ,SO2,1,22.0,6.181818181818182,3.99566865059754,2.0,2.0,6.5,8.75,16.0
2012-01-01,PED,CO,15,23.0,0.6260869565217388,0.4891712762922688,0.1,0.2,0.3,1.2,1.3
2012-01-01,PED,NO,1,23.0,9.304347826086957,9.512837176481318,1.0,2.0,3.0,15.5,32.0
2012-01-01,PED,NO2,1,23.0,19.434782608695652,12.890539473006486,3.0,10.0,14.0,30.5,46.0
2012-01-01,PED,NOX,1,23.0,28.608695652173914,20.925710871893244,5.0,11.5,16.0,50.0,59.0
2012-01-01,PED,O3,1,23.0,21.869565217391305,18.52346018094618,1.0,3.0,19.0,36.5,54.0
2012-01-01,PED,PM10,2,23.0,63.21739130434783,43.814647324360635,17.0,23.5,41.0,107.0,136.0
2012-01-01,PED,PM2.5,2,23.0,46.65217391304348,40.90744397211852,2.0,9.5,28.0,88.5,113.0
2012-01-01,PED,PMCO,2,23.0,16.652173913043477,6.739359934891132,6.0,11.0,16.0,21.5,31.0
2012-01-01,PED,SO2,1,23.0,3.130434782608696,1.6321861476416715,1.0,2.0,3.0,4.0,6.0
2012-01-01,SAG,CO,15,23.0,1.0304347826086957,0.6838625477314307,0.3,0.4,0.6,1.65,2.2
2012-01-01,SAG,NO,1,23.0,22.608695652173914,23.748184869269075,3.0,4.0,8.0,40.5,88.0
2012-01-01,SAG,NO2,1,23.0,27.347826086956523,13.401521947668257,9.0,15.5,27.0,39.0,50.0
2012-01-01,SAG,NOX,1,23.0,50.04347826086956,34.06208003693679,14.0,19.0,35.0,77.0,123.0
2012-01-01,SAG,O3,1,23.0,21.26086956521739,18.528153985720678,3.0,6.0,16.0,33.5,60.0
2012-01-01,SAG,PM10,2,23.0,153.7826086956522,186.60969392186632,16.0,39.5,84.0,203.5,915.0
2012-01-01,SAG,PM2.5,2,23.0,82.04347826086956,73.1955526846155,6.0,11.0,59.0,147.5,200.0
2012-01-01,SAG,PMCO,2,23.0,71.69565217391305,162.9485236013924,10.0,24.5,44.0,51.0,816.0
2012-01-01,SAG,SO2,1,23.0,4.6521739130434785,3.2975017492885828,1.0,2.0,4.0,7.5,12.0
2012-01-01,SJA,CO,15,23.0,1.4043478260869564,1.0195713274212868,0.4,0.5,1.3,2.1,3.4
2012-01-01,SJA,NO,1,22.0,46.13636363636363,60.394966247626535,0.0,3.0,8.0,77.75,193.0
2012-01-01,SJA,NO2,1,22.0,27.681818181818183,17.368242402610694,4.0,12.25,33.5,41.0,59.0
