,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2011-01-02,ACO,CO,15,0.0,,,,,,,
2011-01-02,ACO,NO,1,0.0,,,,,,,
2011-01-02,ACO,NO2,1,0.0,,,,,,,
2011-01-02,ACO,NOX,1,0.0,,,,,,,
2011-01-02,ACO,O3,1,46.0,25.47826086956522,21.319515452524588,2.0,5.25,20.5,39.75,77.0
2011-01-02,ACO,PM10,2,0.0,,,,,,,
2011-01-02,ACO,SO2,1,46.0,2.3043478260869565,6.021699889999285,0.0,0.0,0.0,3.0,40.0
2011-01-02,ATI,NO,1,46.0,9.152173913043478,13.764636478719819,0.0,2.0,3.0,13.25,69.0
2011-01-02,ATI,NO2,1,46.0,20.217391304347824,8.770944567093888,5.0,14.25,19.0,26.0,42.0
2011-01-02,ATI,NOX,1,46.0,29.369565217391305,20.146528452705002,5.0,15.5,23.5,39.75,99.0
2011-01-02,ATI,SO2,1,46.0,5.913043478260869,14.737444504777649,0.0,0.0,1.0,4.75,79.0
2011-01-02,CAM,CO,15,0.0,,,,,,,
2011-01-02,CAM,NO,1,0.0,,,,,,,
2011-01-02,CAM,NO2,1,0.0,,,,,,,
2011-01-02,CAM,NOX,1,0.0,,,,,,,
2011-01-02,CAM,O3,1,0.0,,,,,,,
2011-01-02,CAM,PM10,2,0.0,,,,,,,
2011-01-02,CAM,PM2.5,2,45.0,28.155555555555555,17.545985756338006,8.0,17.0,22.0,32.0,79.0
2011-01-02,CAM,SO2,1,0.0,,,,,,,
2011-01-02,CHO,CO,15,0.0,,,,,,,
2011-01-02,CHO,NO,1,0.0,,,,,,,
2011-01-02,CHO,NO2,1,0.0,,,,,,,
2011-01-02,CHO,NOX,1,0.0,,,,,,,
2011-01-02,CHO,O3,1,41.0,19.975609756097562,22.065230346495422,1.0,3.0,8.0,36.0,86.0
2011-01-02,CHO,SO2,1,0.0,,,,,,,
2011-01-02,COY,NO,1,0.0,,,,,,,
2011-01-02,COY,NO2,1,0.0,,,,,,,
2011-01-02,COY,NOX,1,0.0,,,,,,,
2011-01-02,COY,O3,1,46.0,24.456521739130434,27.51379978745141,1.0,3.0,7.5,43.75,95.0
2011-01-02,COY,PM2.5,2,46.0,41.630434782608695,24.566787603186878,14.0,23.0,29.0,55.75,100.0
2011-01-02,CUA,CO,15,0.0,,,,,,,
2011-01-02,CUA,NO,1,0.0,,,,,,,
2011-01-02,CUA,NO2,1,0.0,,,,,,,
2011-01-02,CUA,NOX,1,0.0,,,,,,,
2011-01-02,CUA,O3,1,46.0,30.76086956521739,23.720768942575475,2.0,15.25,22.5,45.5,92.0
2011-01-02,CUA,SO2,1,0.0,,,,,,,
2011-01-02,FAC,CO,15,46.0,1.0782608695652174,0.37292420646575886,0.6,0.8250000000000001,1.0,1.275,2.4
2011-01-02,FAC,NO,1,46.0,15.782608695652174,17.488933699124345,0.0,4.0,10.5,21.0,94.0
2011-01-02,FAC,NO2,1,46.0,25.630434782608695,6.796596192710236,10.0,21.25,25.0,30.0,41.0
2011-01-02,FAC,NOX,1,46.0,41.32608695652174,21.949491867392165,10.0,28.0,37.0,48.75,132.0
2011-01-02,FAC,O3,1,46.0,24.782608695652176,24.172448084064875,3.0,5.25,12.0,39.0,85.0
2011-01-02,FAC,PM10,2,46.0,44.84782608695652,24.553766302006025,17.0,27.25,39.5,55.0,124.0
2011-01-02,FAC,SO2,1,46.0,5.673913043478261,9.235329141282735,0.0,1.0,2.0,6.0,55.0
2011-01-02,IZT,CO,15,46.0,1.304347826086956,0.7630222136679407,0.4,0.725,1.1,1.8,3.2
2011-01-02,IZT,NO,1,46.0,27.67391304347826,35.01749045378837,1.0,3.0,11.0,36.25,139.0
2011-01-02,IZT,NO2,1,46.0,28.58695652173913,10.324891362261981,9.0,24.5,29.0,32.0,57.0
2011-01-02,IZT,NOX,1,46.0,56.28260869565217,39.36307522058275,12.0,26.5,45.0,75.0,170.0
2011-01-02,IZT,O3,1,46.0,20.73913043478261,24.908217994700017,0.0,1.0,5.5,40.75,87.0
2011-01-02,IZT,PM10,2,46.0,67.82608695652173,45.53694682969037,22.0,36.0,50.0,92.75,169.0
2011-01-02,IZT,SO2,1,46.0,6.869565217391305,7.326083372753893,2.0,3.0,4.5,8.0,47.0
2011-01-02,LLA,CO,15,0.0,,,,,,,
2011-01-02,LLA,NO,1,0.0,,,,,,,
2011-01-02,LLA,NO2,1,0.0,,,,,,,
2011-01-02,LLA,NOX,1,0.0,,,,,,,
2011-01-02,LLA,O3,1,0.0,,,,,,,
2011-01-02,LLA,SO2,1,46.0,9.326086956521738,16.45472488419338,1.0,2.0,4.0,7.75,87.0
2011-01-02,LPR,CO,15,0.0,,,,,,,
2011-01-02,LPR,NO,1,0.0,,,,,,,
2011-01-02,LPR,NO2,1,0.0,,,,,,,
2011-01-02,LPR,NOX,1,0.0,,,,,,,
2011-01-02,LPR,O3,1,0.0,,,,,,,
2011-01-02,LPR,SO2,1,46.0,6.978260869565218,6.574324233747129,2.0,3.25,5.0,7.0,41.0
2011-01-02,MER,CO,15,46.0,1.4978260869565219,0.8673046704038597,0.6,0.9,1.1,1.7,4.3
2011-01-02,MER,NO,1,46.0,34.47826086956522,50.33211439161319,0.0,4.25,9.5,33.5,192.0
2011-01-02,MER,NO2,1,46.0,31.434782608695652,9.579265046994982,11.0,28.0,31.5,34.75,55.0
2011-01-02,MER,NOX,1,46.0,65.65217391304348,53.896286159954926,11.0,31.75,44.0,71.0,226.0
2011-01-02,MER,O3,1,46.0,19.304347826086957,24.10520420086122,0.0,1.0,4.0,37.75,81.0
2011-01-02,MER,PM10,2,46.0,63.97826086956522,33.08204557052714,29.0,39.25,54.5,71.0,146.0
2011-01-02,MER,PM2.5,2,46.0,37.41304347826087,27.606421223215865,7.0,20.0,24.0,37.5,105.0
2011-01-02,MER,SO2,1,46.0,5.978260869565218,10.08076084085099,0.0,2.0,3.0,6.75,58.0
2011-01-02,MON,CO,15,0.0,,,,,,,
2011-01-02,MON,NO,1,0.0,,,,,,,
2011-01-02,MON,NO2,1,0.0,,,,,,,
2011-01-02,MON,NOX,1,0.0,,,,,,,
2011-01-02,MON,O3,1,46.0,25.58695652173913,23.14934708650335,1.0,5.0,16.5,45.75,84.0
2011-01-02,MON,SO2,1,0.0,,,,,,,
2011-01-02,NEZ,CO,15,0.0,,,,,,,
2011-01-02,NEZ,NO,1,0.0,,,,,,,
2011-01-02,NEZ,NO2,1,0.0,,,,,,,
2011-01-02,NEZ,NOX,1,0.0,,,,,,,
2011-01-02,NEZ,O3,1,0.0,,,,,,,
2011-01-02,NEZ,PM2.5,2,0.0,,,,,,,
2011-01-02,NEZ,SO2,1,0.0,,,,,,,
2011-01-02,PED,CO,15,46.0,0.5478260869565217,0.2630919825923014,0.1,0.325,0.5,0.7,1.3
2011-01-02,PED,NO,1,46.0,7.434782608695652,10.63464396084387,1.0,2.0,3.0,8.0,59.0
2011-01-02,PED,NO2,1,46.0,19.717391304347824,7.07000878037569,5.0,14.25,21.0,24.0,33.0
2011-01-02,PED,NOX,1,46.0,27.108695652173914,15.066118368886986,6.0,16.0,25.0,33.5,85.0
2011-01-02,PED,O3,1,46.0,24.304347826086957,23.84195141642133,0.0,5.0,15.0,40.75,87.0
2011-01-02,PED,PM10,2,46.0,39.84782608695652,12.647296402005972,21.0,31.0,37.0,46.0,74.0
2011-01-02,PED,PM2.5,2,0.0,,,,,,,
2011-01-02,PED,SO2,1,46.0,3.717391304347826,4.287776131584923,1.0,1.0,2.0,4.0,23.0
2011-01-02,PER,PM2.5,2,46.0,61.95652173913044,46.68426169337022,7.0,23.75,49.5,87.5,240.0
2011-01-02,SAG,CO,15,46.0,1.0130434782608695,0.6166607911980185,0.3,0.6,0.8,1.2,2.7
2011-01-02,SAG,NO,1,46.0,18.434782608695652,22.511875556310315,1.0,3.0,6.5,27.25,90.0
2011-01-02,SAG,NO2,1,46.0,22.543478260869566,8.653083000331616,8.0,18.0,22.0,27.75,46.0
2011-01-02,SAG,NOX,1,46.0,40.82608695652174,27.99071619728075,9.0,21.25,34.0,52.75,118.0
2011-01-02,SAG,O3,1,46.0,20.934782608695652,20.594931602932515,2.0,4.0,12.0,42.5,71.0
2011-01-02,SAG,PM10,2,46.0,82.1304347826087,59.84892413240829,24.0,48.0,56.5,77.75,228.0
2011-01-02,SAG,PM2.5,2,46.0,46.56521739130435,48.59796620066092,3.0,17.25,23.5,35.75,167.0
2011-01-02,SAG,SO2,1,46.0,7.434782608695652,12.718581636353155,2.0,3.0,3.5,7.0,85.0
2011-01-02,SJA,CO,15,0.0,,,,,,,
2011-01-02,SJA,NO,1,0.0,,,,,,,
2011-01-02,SJA,NO2,1,0.0,,,,,,,
2011-01-02,SJA,NOX,1,0.0,,,,,,,
2011-01-02,SJA,O3,1,0.0,,,,,,,
2011-01-02,SJA,PM2.5,2,39.0,45.38461538461539,40.019479062744445,7.0,20.0,24.0,66.0,143.0
2011-01-02,SJA,SO2,1,0.0,,,,,,,
2011-01-02,SUR,CO,15,46.0,2.1826086956521737,0.7959074060679524,1.2,1.525,1.95,2.7,4.0
2011-01-02,SUR,NO,1,46.0,21.543478260869566,25.190568359993723,0.0,1.25,10.0,32.25,97.0
2011-01-02,SUR,NO2,1,46.0,25.08695652173913,9.32339014869239,6.0,20.25,25.5,30.0,54.0
2011-01-02,SUR,NOX,1,46.0,46.608695652173914,31.148731567447005,6.0,21.25,37.0,70.0,128.0
2011-01-02,SUR,O3,1,46.0,25.956521739130434,28.153512922103925,1.0,3.0,7.5,46.0,99.0
2011-01-02,SUR,PM10,2,44.0,70.0909090909091,43.14487125294736,23.0,41.0,52.0,93.0,188.0
2011-01-02,SUR,SO2,1,46.0,4.3478260869565215,4.653397283726508,0.0,1.0,3.0,6.0,27.0
2011-01-02,TAH,CO,15,0.0,,,,,,,
2011-01-02,TAH,NO,1,0.0,,,,,,,
2011-01-02,TAH,NO2,1,0.0,,,,,,,
2011-01-02,TAH,NOX,1,0.0,,,,,,,
2011-01-02,TAH,O3,1,46.0,28.630434782608695,24.179292054384216,4.0,9.0,16.5,44.0,92.0
2011-01-02,TAH,PM10,2,43.0,63.674418604651166,23.488316173743513,16.0,45.0,63.0,73.0,146.0
2011-01-02,TAH,SO2,1,0.0,,,,,,,
2011-01-02,TLA,CO,15,46.0,0.8543478260869568,0.42095474644042763,0.4,0.6,0.7,0.975,1.9
2011-01-02,TLA,NO,1,46.0,12.869565217391305,15.550074948947172,0.0,2.0,6.0,20.75,58.0
2011-01-02,TLA,NO2,1,46.0,27.608695652173914,11.449363419217423,8.0,23.0,26.5,31.0,72.0
2011-01-02,TLA,NOX,1,46.0,39.95652173913044,23.24646355110493,6.0,27.0,34.0,50.75,102.0
2011-01-02,TLA,O3,1,46.0,22.32608695652174,25.376326980366816,1.0,2.25,8.5,41.25,77.0
2011-01-02,TLA,PM10,2,46.0,54.82608695652174,39.55772398116515,16.0,29.0,40.0,57.25,182.0
2011-01-02,TLA,PM2.5,2,46.0,36.28260869565217,33.25368019297732,5.0,16.0,21.0,37.25,141.0
2011-01-02,TLA,SO2,1,46.0,8.304347826086957,15.180205774066279,0.0,2.0,3.0,6.75,92.0
2011-01-02,TLI,CO,15,46.0,0.591304347826087,0.6058331589019545,0.0,0.2,0.3,0.85,2.5
2011-01-02,TLI,NO,1,46.0,11.565217391304348,15.833371472112724,0.0,1.0,4.5,16.0,53.0
2011-01-02,TLI,NO2,1,46.0,22.52173913043478,9.53994905748053,8.0,14.25,23.0,30.75,46.0
