,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2019-01-06,ACO,CO,15,135.0,0.41925925925925933,0.23799419794015697,0.1,0.2,0.4,0.5,1.5
2019-01-06,ACO,NO,1,135.0,7.214814814814815,9.34047937756751,0.0,1.0,3.0,9.5,43.0
2019-01-06,ACO,NO2,1,135.0,20.925925925925927,9.280560351737027,6.0,13.0,20.0,27.0,52.0
2019-01-06,ACO,NOX,1,135.0,28.118518518518517,16.408976362086705,7.0,15.0,24.0,37.5,79.0
2019-01-06,ACO,O3,1,135.0,29.896296296296295,26.23609057894824,1.0,5.0,25.0,52.0,89.0
2019-01-06,ACO,PM10,2,138.0,74.58695652173913,35.85488356334689,31.0,54.25,68.0,79.75,240.0
2019-01-06,ACO,SO2,1,135.0,2.325925925925926,1.9464074431553615,1.0,1.0,2.0,2.0,12.0
2019-01-06,AJM,CO,15,135.0,0.3125925925925926,0.18625517307435951,0.0,0.2,0.3,0.4,0.9
2019-01-06,AJM,NO,1,135.0,3.348148148148148,6.360229178399853,0.0,0.0,1.0,3.5,34.0
2019-01-06,AJM,NO2,1,135.0,20.16296296296296,10.037398282904926,3.0,12.0,19.0,29.0,42.0
2019-01-06,AJM,NOX,1,135.0,23.48148148148148,14.499537744485474,3.0,12.0,20.0,32.0,75.0
2019-01-06,AJM,O3,1,135.0,51.681481481481484,23.116399764828028,11.0,35.5,44.0,67.5,123.0
2019-01-06,AJM,PM10,2,138.0,45.528985507246375,17.228897821136883,7.0,33.25,44.0,59.0,91.0
2019-01-06,AJM,PM2.5,2,138.0,26.318840579710145,12.07034461330283,3.0,19.0,24.0,33.75,76.0
2019-01-06,AJM,PMCO,2,138.0,19.18840579710145,7.439832354909836,3.0,14.0,19.0,23.0,39.0
2019-01-06,AJM,SO2,1,135.0,6.007407407407407,6.782876042462182,0.0,2.0,4.0,7.0,41.0
2019-01-06,AJU,O3,1,135.0,34.8962962962963,27.985410397838262,0.0,13.0,23.0,53.0,111.0
2019-01-06,AJU,PM2.5,2,132.0,18.40909090909091,11.811467157773134,1.0,9.0,17.0,26.0,50.0
2019-01-06,ATI,CO,15,131.0,0.4664122137404579,0.3094935533124799,0.0,0.3,0.4,0.6,1.7
2019-01-06,ATI,NO,1,131.0,12.557251908396946,19.93495588748702,0.0,1.0,3.0,14.0,122.0
2019-01-06,ATI,NO2,1,131.0,30.778625954198475,15.149150814655169,7.0,21.0,28.0,37.0,91.0
2019-01-06,ATI,NOX,1,131.0,43.32824427480916,30.91289070127706,8.0,23.5,35.0,53.0,167.0
2019-01-06,ATI,O3,1,131.0,29.66412213740458,26.796558529615734,0.0,6.0,22.0,51.0,91.0
2019-01-06,ATI,PM10,2,132.0,63.18939393939394,23.756439890503536,26.0,46.5,59.0,78.25,130.0
2019-01-06,ATI,SO2,1,131.0,6.717557251908397,6.626606985549075,1.0,3.0,4.0,9.0,43.0
2019-01-06,BJU,CO,15,135.0,0.7266666666666668,0.34515841052799057,0.1,0.45,0.7,0.9,2.0
2019-01-06,BJU,NO2,1,135.0,36.474074074074075,13.623306209728398,8.0,27.5,37.0,45.0,76.0
2019-01-06,BJU,O3,1,135.0,27.48148148148148,31.835362824177825,0.0,1.0,14.0,50.5,115.0
2019-01-06,BJU,PM10,2,138.0,63.34057971014493,25.63229497424849,21.0,45.25,58.0,74.0,143.0
2019-01-06,BJU,PM2.5,2,138.0,38.76086956521739,23.907533048489434,8.0,23.25,32.0,44.5,121.0
2019-01-06,BJU,PMCO,2,138.0,24.536231884057973,9.107756716831565,11.0,18.0,23.0,29.0,67.0
2019-01-06,BJU,SO2,1,135.0,3.2074074074074073,3.0324028605876134,1.0,2.0,2.0,4.0,22.0
2019-01-06,CAM,CO,15,130.0,0.6699999999999999,0.5006429974070479,0.0,0.3,0.5,0.9,2.2
2019-01-06,CAM,NO,1,130.0,37.8,58.14808681289524,0.0,3.0,11.0,48.25,373.0
2019-01-06,CAM,NO2,1,130.0,42.95384615384615,15.37936881319994,11.0,32.25,42.0,53.75,89.0
2019-01-06,CAM,NOX,1,130.0,80.73846153846154,67.15371166110516,12.0,39.0,59.0,101.75,438.0
2019-01-06,CAM,O3,1,130.0,30.515384615384615,34.41476035760062,1.0,3.0,14.0,55.75,119.0
2019-01-06,CAM,PM10,2,131.0,75.07633587786259,31.41181020439745,21.0,52.5,66.0,93.5,204.0
2019-01-06,CAM,PM2.5,2,131.0,44.06870229007634,26.963277260204986,8.0,27.5,37.0,52.0,162.0
2019-01-06,CAM,PMCO,2,131.0,30.9618320610687,11.337754885712718,9.0,22.0,30.0,38.5,71.0
2019-01-06,CAM,SO2,1,124.0,6.145161290322581,6.736254958660847,1.0,2.0,4.0,8.0,47.0
2019-01-06,CCA,CO,15,135.0,0.6185185185185187,0.26264588986023635,0.1,0.4,0.6,0.8,1.3
2019-01-06,CCA,NO,1,135.0,11.703703703703704,17.131656163273536,0.0,1.0,3.0,18.0,88.0
2019-01-06,CCA,NO2,1,135.0,31.42962962962963,10.731138079843523,11.0,24.0,32.0,39.0,64.0
2019-01-06,CCA,NOX,1,135.0,43.111111111111114,23.059192703978244,12.0,26.0,38.0,55.0,128.0
2019-01-06,CCA,O3,1,135.0,32.77777777777778,32.92951918614733,1.0,3.0,21.0,59.0,108.0
2019-01-06,CCA,PM2.5,2,138.0,30.057971014492754,17.73106808444466,4.0,20.0,25.0,33.0,97.0
2019-01-06,CCA,SO2,1,135.0,3.8296296296296295,2.546700354895133,1.0,2.0,3.0,5.0,18.0
2019-01-06,CHO,CO,15,134.0,0.5985074626865668,0.5024728436348637,0.0,0.225,0.4,0.7,2.3
2019-01-06,CHO,NO,1,134.0,33.41044776119403,50.64623176781473,0.0,4.0,8.0,44.75,280.0
2019-01-06,CHO,NO2,1,134.0,23.671641791044777,10.773663320542633,4.0,15.0,26.0,31.0,49.0
2019-01-06,CHO,NOX,1,134.0,57.02238805970149,55.78752203949305,5.0,19.0,39.0,73.0,319.0
2019-01-06,CHO,O3,1,134.0,24.888059701492537,23.77041202706126,1.0,2.0,17.0,42.0,99.0
2019-01-06,CHO,PM10,2,133.0,73.1203007518797,52.81572275000914,6.0,40.0,64.0,89.0,294.0
2019-01-06,CHO,SO2,1,135.0,1.837037037037037,1.5797572428633502,0.0,1.0,1.0,2.0,11.0
2019-01-06,COY,NO,1,0.0,,,,,,,
2019-01-06,COY,NO2,1,0.0,,,,,,,
2019-01-06,COY,NOX,1,0.0,,,,,,,
2019-01-06,COY,O3,1,0.0,,,,,,,
2019-01-06,COY,PM2.5,2,0.0,,,,,,,
2019-01-06,CUA,CO,15,135.0,0.44814814814814796,0.268175664152361,0.1,0.3,0.4,0.6,1.6
2019-01-06,CUA,NO,1,135.0,10.037037037037036,16.968103266681506,0.0,2.0,3.0,10.0,101.0
2019-01-06,CUA,NO2,1,135.0,32.24444444444445,13.787008088769696,5.0,22.5,32.0,41.0,73.0
2019-01-06,CUA,NOX,1,135.0,42.34074074074074,26.79974464206784,7.0,25.0,37.0,51.5,165.0
2019-01-06,CUA,O3,1,135.0,31.274074074074075,20.43206056543725,1.0,17.0,25.0,43.0,91.0
2019-01-06,CUA,PM10,2,138.0,46.28260869565217,27.01526714357021,12.0,32.0,40.0,52.75,192.0
2019-01-06,CUA,SO2,1,135.0,5.637037037037037,4.5884465673693,1.0,3.0,4.0,6.0,28.0
2019-01-06,CUT,NO,1,134.0,25.776119402985074,38.348744338589974,0.0,1.0,8.5,37.75,222.0
2019-01-06,CUT,NO2,1,134.0,26.44776119402985,13.839883069271728,6.0,16.0,25.0,34.0,75.0
2019-01-06,CUT,NOX,1,134.0,52.21641791044776,45.349662720649526,6.0,19.25,35.5,69.5,250.0
2019-01-06,CUT,O3,1,134.0,30.649253731343283,32.037632350985945,1.0,2.0,18.0,59.75,93.0
2019-01-06,CUT,PM10,2,133.0,76.69172932330827,49.40297814160106,2.0,47.0,63.0,90.0,240.0
2019-01-06,CUT,SO2,1,134.0,7.3059701492537314,8.612133084769354,1.0,3.0,4.0,9.0,79.0
2019-01-06,FAC,CO,15,131.0,0.5412213740458016,0.4463303759130818,0.0,0.2,0.4,0.9,2.2
2019-01-06,FAC,NO,1,131.0,25.389312977099237,33.15269394299978,1.0,3.5,9.0,38.0,143.0
2019-01-06,FAC,NO2,1,131.0,37.29007633587786,18.337220890694645,13.0,24.0,32.0,45.0,86.0
2019-01-06,FAC,NOX,1,131.0,62.70229007633588,44.931862030016504,15.0,29.5,42.0,90.0,206.0
2019-01-06,FAC,O3,1,131.0,32.6793893129771,30.370599947361157,1.0,8.5,21.0,52.0,109.0
2019-01-06,FAC,PM10,2,135.0,55.75555555555555,25.201713595690347,19.0,36.5,53.0,71.0,161.0
2019-01-06,FAC,SO2,1,87.0,6.367816091954023,4.1008080387206265,1.0,3.0,5.0,8.0,21.0
2019-01-06,GAM,NO2,1,126.0,33.37301587301587,13.790277228241136,5.0,25.0,35.0,43.0,62.0
2019-01-06,GAM,O3,1,127.0,29.393700787401574,34.555259972268054,1.0,2.0,11.0,52.5,110.0
2019-01-06,GAM,PM10,2,86.0,70.37209302325581,22.66069232711538,33.0,55.0,66.0,80.75,135.0
2019-01-06,GAM,PM2.5,2,86.0,34.68604651162791,13.134831670393643,13.0,24.25,31.5,42.75,77.0
2019-01-06,GAM,PMCO,2,86.0,35.72093023255814,12.546057419426463,15.0,28.0,35.5,41.0,69.0
2019-01-06,HGM,CO,15,129.0,0.6193798449612397,0.42243296794059587,0.0,0.3,0.5,0.8,1.8
2019-01-06,HGM,NO,1,129.0,18.751937984496124,27.365018445017043,0.0,2.0,5.0,26.0,129.0
2019-01-06,HGM,NO2,1,129.0,39.44961240310077,13.267654064673414,11.0,31.0,39.0,47.0,81.0
2019-01-06,HGM,NOX,1,129.0,58.23255813953488,35.94038284695986,13.0,34.0,48.0,73.0,185.0
2019-01-06,HGM,O3,1,129.0,28.93798449612403,31.148021590961566,0.0,3.0,16.0,49.0,108.0
2019-01-06,HGM,PM10,2,133.0,63.56390977443609,23.495116637505323,23.0,46.0,59.0,76.0,135.0
2019-01-06,HGM,PM2.5,2,133.0,38.80451127819549,21.447419371010778,10.0,23.0,33.0,45.0,115.0
2019-01-06,HGM,PMCO,2,133.0,24.706766917293233,9.899328072458752,6.0,18.0,23.0,31.0,65.0
2019-01-06,HGM,SO2,1,129.0,5.263565891472868,6.49461240645487,1.0,2.0,3.0,6.0,44.0
2019-01-06,INN,CO,15,134.0,0.18582089552238787,0.09351368769147204,0.0,0.1,0.2,0.2,0.5
2019-01-06,INN,O3,1,134.0,46.61940298507463,15.57460569318004,24.0,37.0,42.0,51.0,105.0
2019-01-06,INN,PM10,2,119.0,26.45378151260504,15.292486190415937,3.0,14.0,26.0,36.0,71.0
2019-01-06,INN,PM2.5,2,119.0,16.252100840336134,9.509333940384316,2.0,8.0,16.0,23.5,41.0
2019-01-06,INN,PMCO,2,119.0,10.15126050420168,6.643001485521981,1.0,5.0,9.0,13.5,30.0
2019-01-06,INN,SO2,1,134.0,2.8507462686567164,2.4356607004914084,1.0,2.0,2.0,3.0,18.0
2019-01-06,IZT,CO,15,133.0,0.6157894736842102,0.40449034622767877,0.1,0.3,0.5,0.9,1.8
2019-01-06,IZT,NO,1,133.0,20.37593984962406,24.968647462719453,0.0,5.0,11.0,24.0,118.0
2019-01-06,IZT,NO2,1,133.0,38.390977443609025,13.832238686043166,13.0,29.0,38.0,46.0,81.0
2019-01-06,IZT,NOX,1,133.0,58.81203007518797,33.8024901306012,14.0,36.0,52.0,74.0,183.0
