,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2021-01-03,ACO,CO,15,0.0,,,,,,,
2021-01-03,ACO,NO,1,0.0,,,,,,,
2021-01-03,ACO,NO2,1,0.0,,,,,,,
2021-01-03,ACO,NOX,1,0.0,,,,,,,
2021-01-03,ACO,O3,1,0.0,,,,,,,
2021-01-03,ACO,PM10,2,68.0,62.088235294117645,29.506252964473678,9.0,42.0,55.0,78.0,150.0
2021-01-03,ACO,SO2,1,0.0,,,,,,,
2021-01-03,AJM,CO,15,0.0,,,,,,,
2021-01-03,AJM,NO,1,0.0,,,,,,,
2021-01-03,AJM,NO2,1,0.0,,,,,,,
2021-01-03,AJM,NOX,1,0.0,,,,,,,
2021-01-03,AJM,O3,1,0.0,,,,,,,
2021-01-03,AJM,PM10,2,0.0,,,,,,,
2021-01-03,AJM,PM2.5,2,0.0,,,,,,,
2021-01-03,AJM,PMCO,2,0.0,,,,,,,
2021-01-03,AJM,SO2,1,0.0,,,,,,,
2021-01-03,AJU,O3,1,65.0,35.89230769230769,15.207032785979195,2.0,25.0,33.0,47.0,70.0
2021-01-03,AJU,PM2.5,2,0.0,,,,,,,
2021-01-03,ATI,CO,15,66.0,0.42424242424242414,0.20004661461431436,0.0,0.3,0.4,0.6,0.9
2021-01-03,ATI,NO,1,66.0,6.0,8.395969729120496,0.0,1.0,3.0,9.0,51.0
2021-01-03,ATI,NO2,1,66.0,22.666666666666668,9.60341819487421,2.0,18.25,22.5,29.0,43.0
2021-01-03,ATI,NOX,1,66.0,28.666666666666668,15.883550594472874,2.0,19.5,26.0,39.25,84.0
2021-01-03,ATI,O3,1,66.0,25.757575757575758,20.256858748096317,1.0,7.25,22.0,40.25,72.0
2021-01-03,ATI,PM10,2,66.0,38.03030303030303,17.22964323660261,10.0,26.25,36.0,47.25,97.0
2021-01-03,ATI,SO2,1,66.0,3.0303030303030303,5.943243602793388,0.0,1.0,1.0,2.0,34.0
2021-01-03,BJU,CO,15,66.0,0.5530303030303031,0.31633463147053476,0.0,0.3,0.5,0.7,1.4
2021-01-03,BJU,NO2,1,66.0,22.166666666666668,11.936477167886975,3.0,12.0,23.0,31.0,47.0
2021-01-03,BJU,O3,1,66.0,24.454545454545453,20.29034011784677,1.0,5.0,24.5,39.0,72.0
2021-01-03,BJU,PM10,2,68.0,36.4264705882353,14.016319035239938,10.0,27.0,33.0,43.0,72.0
2021-01-03,BJU,PM2.5,2,68.0,22.514705882352942,13.399145269085427,4.0,14.75,18.5,26.25,63.0
2021-01-03,BJU,PMCO,2,68.0,13.867647058823529,7.421035876851264,3.0,9.0,12.0,16.25,48.0
2021-01-03,BJU,SO2,1,66.0,0.9696969696969697,0.4951983897605534,0.0,1.0,1.0,1.0,2.0
2021-01-03,CAM,CO,15,66.0,0.7303030303030303,0.5337731286920997,0.0,0.3,0.6499999999999999,1.0,2.4
2021-01-03,CAM,NO,1,66.0,21.28787878787879,28.317847132161486,0.0,1.25,7.5,24.75,101.0
2021-01-03,CAM,NO2,1,66.0,32.28787878787879,15.73996887057341,4.0,24.0,32.0,41.75,65.0
2021-01-03,CAM,NOX,1,66.0,53.57575757575758,39.6826102607875,5.0,25.5,45.5,68.0,152.0
2021-01-03,CAM,O3,1,66.0,24.28787878787879,25.11926331080172,0.0,1.0,14.0,47.0,86.0
2021-01-03,CAM,PM10,2,0.0,,,,,,,
2021-01-03,CAM,PM2.5,2,0.0,,,,,,,
2021-01-03,CAM,PMCO,2,0.0,,,,,,,
2021-01-03,CAM,SO2,1,66.0,1.393939393939394,0.6766157386647599,0.0,1.0,1.0,2.0,3.0
2021-01-03,CCA,CO,15,66.0,0.35606060606060613,0.20690301546584045,0.0,0.2,0.35,0.5,0.8
2021-01-03,CCA,NO,1,66.0,3.6666666666666665,5.589367195043248,0.0,1.0,2.0,3.75,28.0
2021-01-03,CCA,NO2,1,66.0,19.12121212121212,9.90806222072192,3.0,11.0,20.0,25.0,50.0
2021-01-03,CCA,NOX,1,66.0,22.727272727272727,12.887137838881127,4.0,12.25,22.0,29.75,60.0
2021-01-03,CCA,O3,1,66.0,32.878787878787875,25.961222651968487,3.0,8.25,26.0,53.0,94.0
2021-01-03,CCA,PM2.5,2,69.0,18.985507246376812,11.442301230937138,1.0,11.0,17.0,24.0,51.0
2021-01-03,CCA,SO2,1,66.0,1.1363636363636365,0.3458040190345097,1.0,1.0,1.0,1.0,2.0
2021-01-03,CHO,CO,15,0.0,,,,,,,
2021-01-03,CHO,NO,1,0.0,,,,,,,
2021-01-03,CHO,NO2,1,0.0,,,,,,,
2021-01-03,CHO,NOX,1,0.0,,,,,,,
2021-01-03,CHO,O3,1,0.0,,,,,,,
2021-01-03,CHO,PM10,2,0.0,,,,,,,
2021-01-03,CHO,SO2,1,0.0,,,,,,,
2021-01-03,COY,NO,1,0.0,,,,,,,
2021-01-03,COY,NO2,1,0.0,,,,,,,
2021-01-03,COY,NOX,1,0.0,,,,,,,
2021-01-03,COY,O3,1,0.0,,,,,,,
2021-01-03,COY,PM2.5,2,0.0,,,,,,,
2021-01-03,CUA,CO,15,0.0,,,,,,,
2021-01-03,CUA,NO,1,0.0,,,,,,,
2021-01-03,CUA,NO2,1,0.0,,,,,,,
2021-01-03,CUA,NOX,1,0.0,,,,,,,
2021-01-03,CUA,O3,1,0.0,,,,,,,
2021-01-03,CUA,PM10,2,0.0,,,,,,,
2021-01-03,CUA,SO2,1,0.0,,,,,,,
2021-01-03,CUT,NO,1,66.0,13.651515151515152,20.2374309894713,0.0,1.0,3.5,18.25,95.0
2021-01-03,CUT,NO2,1,66.0,21.606060606060606,10.760152683902108,4.0,14.0,22.0,28.5,49.0
2021-01-03,CUT,NOX,1,66.0,35.27272727272727,27.443113444441313,5.0,15.0,31.0,49.0,128.0
2021-01-03,CUT,O3,1,66.0,28.59090909090909,28.703780117033244,0.0,1.0,21.0,51.75,83.0
2021-01-03,CUT,PM10,2,69.0,65.15942028985508,30.463393262582528,5.0,40.0,59.0,90.0,131.0
2021-01-03,CUT,SO2,1,66.0,2.621212121212121,1.3673686297765386,1.0,2.0,2.0,3.0,6.0
2021-01-03,FAC,CO,15,66.0,0.5060606060606061,0.2671091899342278,0.0,0.3,0.5,0.7,1.0
2021-01-03,FAC,NO,1,66.0,11.333333333333334,13.911072881627385,0.0,2.0,6.0,16.0,58.0
2021-01-03,FAC,NO2,1,66.0,25.87878787878788,12.38300963978175,3.0,17.25,26.5,31.75,56.0
2021-01-03,FAC,NOX,1,66.0,37.10606060606061,22.626824644063365,3.0,19.0,33.5,52.75,98.0
2021-01-03,FAC,O3,1,66.0,29.53030303030303,24.07885743326239,2.0,9.0,22.0,48.0,81.0
2021-01-03,FAC,PM10,2,67.0,35.6865671641791,19.576740183669635,3.0,22.0,34.0,42.5,84.0
2021-01-03,FAC,SO2,1,66.0,1.4393939393939394,1.2542700957901662,0.0,1.0,1.0,2.0,7.0
2021-01-03,FAR,CO,15,66.0,0.44090909090909103,0.2966361525387744,0.0,0.2,0.4,0.5,1.3
2021-01-03,FAR,NO,1,0.0,,,,,,,
2021-01-03,FAR,NO2,1,66.0,19.893939393939394,11.002277789172409,4.0,11.0,18.0,27.5,51.0
2021-01-03,FAR,NOX,1,0.0,,,,,,,
2021-01-03,FAR,O3,1,66.0,31.924242424242426,22.43027528625651,1.0,11.5,29.0,49.0,87.0
2021-01-03,FAR,PM2.5,2,67.0,23.432835820895523,11.716633967707741,3.0,16.0,22.0,30.0,55.0
2021-01-03,FAR,SO2,1,66.0,0.2727272727272727,0.5960241230392903,0.0,0.0,0.0,0.0,3.0
2021-01-03,GAM,NO2,1,66.0,26.242424242424242,13.338274142840113,3.0,14.0,29.0,37.0,52.0
2021-01-03,GAM,O3,1,66.0,27.818181818181817,25.233621704695192,1.0,2.0,23.5,48.0,92.0
2021-01-03,GAM,PM10,2,58.0,47.224137931034484,12.815893509107417,26.0,38.0,46.5,56.75,88.0
2021-01-03,GAM,PM2.5,2,58.0,25.896551724137932,13.478624604688704,3.0,17.25,25.0,34.75,59.0
2021-01-03,GAM,PMCO,2,58.0,21.32758620689655,8.41758379099388,7.0,16.0,21.0,25.75,48.0
2021-01-03,HGM,CO,15,0.0,,,,,,,
2021-01-03,HGM,NO,1,0.0,,,,,,,
2021-01-03,HGM,NO2,1,0.0,,,,,,,
2021-01-03,HGM,NOX,1,0.0,,,,,,,
2021-01-03,HGM,O3,1,0.0,,,,,,,
2021-01-03,HGM,PM10,2,0.0,,,,,,,
2021-01-03,HGM,PM2.5,2,0.0,,,,,,,
2021-01-03,HGM,PMCO,2,0.0,,,,,,,
2021-01-03,HGM,SO2,1,0.0,,,,,,,
2021-01-03,INN,CO,15,66.0,0.16515151515151513,0.15834958817310535,0.0,0.1,0.1,0.2,0.9
2021-01-03,INN,O3,1,66.0,40.015151515151516,7.150024043515086,24.0,36.0,40.0,45.75,54.0
2021-01-03,INN,PM10,2,47.0,19.29787234042553,30.434473369646078,2.0,5.0,13.0,21.0,169.0
2021-01-03,INN,PM2.5,2,47.0,11.574468085106384,27.631696261682382,1.0,2.0,5.0,7.0,152.0
2021-01-03,INN,PMCO,2,47.0,7.680851063829787,5.4218013330190455,1.0,2.0,7.0,12.5,16.0
2021-01-03,INN,SO2,1,64.0,0.65625,0.5409794175000839,0.0,0.0,1.0,1.0,2.0
2021-01-03,IZT,CO,15,0.0,,,,,,,
2021-01-03,IZT,NO,1,0.0,,,,,,,
2021-01-03,IZT,NO2,1,0.0,,,,,,,
2021-01-03,IZT,NOX,1,0.0,,,,,,,
2021-01-03,IZT,O3,1,0.0,,,,,,,
2021-01-03,IZT,PM10,2,0.0,,,,,,,
2021-01-03,IZT,SO2,1,0.0,,,,,,,
2021-01-03,LLA,CO,15,0.0,,,,,,,
2021-01-03,LLA,NO,1,0.0,,,,,,,
2021-01-03,LLA,NO2,1,0.0,,,,,,,
2021-01-03,LLA,NOX,1,0.0,,,,,,,
2021-01-03,LLA,O3,1,0.0,,,,,,,
2021-01-03,LLA,SO2,1,0.0,,,,,,,
2021-01-03,LPR,CO,15,66.0,0.6484848484848483,0.3655311937619738,0.2,0.4,0.5,0.8,1.7
2021-01-03,LPR,NO,1,0.0,,,,,,,
2021-01-03,LPR,NO2,1,0.0,,,,,,,
2021-01-03,LPR,NOX,1,0.0,,,,,,,
2021-01-03,LPR,O3,1,66.0,25.606060606060606,20.8702060642798,1.0,6.25,24.0,42.75,84.0
2021-01-03,LPR,SO2,1,66.0,1.606060606060606,0.8571650568775745,1.0,1.0,1.0,2.0,4.0
2021-01-03,MER,CO,15,66.0,0.5803030303030305,0.38118023072867807,0.0,0.225,0.6,0.8,1.6
2021-01-03,MER,NO,1,66.0,19.78787878787879,26.60162814653682,0.0,2.0,8.5,25.5,114.0
2021-01-03,MER,NO2,1,66.0,32.89393939393939,14.35605344084057,5.0,22.25,32.5,43.0,60.0
2021-01-03,MER,NOX,1,66.0,52.72727272727273,35.865365961111785,6.0,26.0,46.0,67.25,156.0
2021-01-03,MER,O3,1,66.0,24.681818181818183,25.942634402085694,0.0,2.0,11.0,48.0,89.0
2021-01-03,MER,PM10,2,64.0,49.0625,15.126844633677857,23.0,38.0,45.0,57.5,89.0
2021-01-03,MER,PM2.5,2,64.0,30.078125,14.618215086035207,10.0,21.0,27.0,31.5,75.0
2021-01-03,MER,PMCO,2,64.0,18.96875,7.634443150762354,9.0,13.0,17.0,25.0,37.0
2021-01-03,MER,SO2,1,66.0,2.0303030303030303,0.8406901371848648,1.0,1.0,2.0,3.0,4.0
