,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2014-01-05,ACO,CO,15,21.0,0.23333333333333334,0.11972189997378647,0.1,0.1,0.2,0.3,0.5
2014-01-05,ACO,NO,1,0.0,,,,,,,
2014-01-05,ACO,NO2,1,0.0,,,,,,,
2014-01-05,ACO,NOX,1,0.0,,,,,,,
2014-01-05,ACO,O3,1,105.0,27.83809523809524,23.236709935889994,2.0,8.0,19.0,41.0,93.0
2014-01-05,ACO,PM10,2,21.0,45.095238095238095,10.520954148292644,30.0,37.0,42.0,55.0,66.0
2014-01-05,ACO,SO2,1,21.0,2.2857142857142856,0.6436503043467892,2.0,2.0,2.0,2.0,4.0
2014-01-05,ATI,CO,15,114.0,0.7385964912280698,0.39364616696513194,0.2,0.5,0.7,0.9,2.2
2014-01-05,ATI,NO,1,114.0,15.131578947368421,23.151105464113936,0.0,2.0,7.0,15.0,122.0
2014-01-05,ATI,NO2,1,114.0,24.289473684210527,9.44731425449557,7.0,17.0,23.0,29.0,53.0
2014-01-05,ATI,NOX,1,114.0,39.421052631578945,27.07867748069318,8.0,22.0,32.0,47.75,147.0
2014-01-05,ATI,O3,1,114.0,20.32456140350877,20.1070126515734,0.0,5.25,14.0,31.75,89.0
2014-01-05,ATI,PM10,2,108.0,46.02777777777778,29.8110743812302,2.0,25.75,41.0,61.5,129.0
2014-01-05,ATI,SO2,1,114.0,5.254385964912281,9.516461195760769,0.0,1.0,2.0,4.75,57.0
2014-01-05,CAM,CO,15,115.0,0.8469565217391304,0.5111599706910922,0.1,0.5,0.7,1.0,2.7
2014-01-05,CAM,NO,1,115.0,36.4,44.60996663086644,2.0,8.0,19.0,40.5,217.0
2014-01-05,CAM,NO2,1,115.0,35.06956521739131,15.123307061485349,11.0,25.5,30.0,43.0,88.0
2014-01-05,CAM,NOX,1,115.0,71.4608695652174,51.56673192420174,13.0,36.5,57.0,84.0,248.0
2014-01-05,CAM,O3,1,115.0,18.62608695652174,23.17949065845397,1.0,2.0,7.0,26.5,91.0
2014-01-05,CAM,PM10,2,114.0,52.26315789473684,30.418628616862417,3.0,30.0,48.0,68.0,147.0
2014-01-05,CAM,PM2.5,2,114.0,33.23684210526316,23.747306370427676,1.0,16.25,29.0,44.75,114.0
2014-01-05,CAM,PMCO,2,114.0,19.096491228070175,9.139982473449644,2.0,13.0,17.5,27.0,44.0
2014-01-05,CAM,SO2,1,115.0,5.130434782608695,8.131077202681855,0.0,1.0,2.0,5.0,49.0
2014-01-05,CHO,CO,15,0.0,,,,,,,
2014-01-05,CHO,NO,1,0.0,,,,,,,
2014-01-05,CHO,NO2,1,0.0,,,,,,,
2014-01-05,CHO,NOX,1,0.0,,,,,,,
2014-01-05,CHO,O3,1,115.0,18.078260869565216,17.92878104979114,1.0,2.0,10.0,35.5,61.0
2014-01-05,CHO,PM10,2,109.0,58.84403669724771,37.72541493081745,1.0,33.0,47.0,80.0,155.0
2014-01-05,CHO,SO2,1,115.0,3.347826086956522,2.1725701420484698,1.0,2.0,3.0,4.0,18.0
2014-01-05,COY,NO,1,115.0,25.8,28.786936608438307,1.0,6.5,17.0,32.0,148.0
2014-01-05,COY,NO2,1,115.0,34.02608695652174,13.402317729358904,11.0,25.0,31.0,39.5,83.0
2014-01-05,COY,NOX,1,115.0,59.88695652173913,35.5990748000689,12.0,36.0,54.0,70.0,184.0
2014-01-05,COY,O3,1,115.0,20.52173913043478,26.731067353571476,0.0,1.0,7.0,33.0,99.0
2014-01-05,COY,PM2.5,2,115.0,39.87826086956522,30.900845337351676,4.0,24.0,32.0,44.5,149.0
2014-01-05,CUA,CO,15,115.0,0.7782608695652176,0.31477717228576113,0.4,0.5,0.7,1.0,1.7
2014-01-05,CUA,NO,1,115.0,13.843478260869565,17.322833174717257,1.0,4.0,7.0,17.0,103.0
2014-01-05,CUA,NO2,1,115.0,22.434782608695652,10.946545104873417,5.0,13.0,21.0,29.0,60.0
2014-01-05,CUA,NOX,1,115.0,36.29565217391304,25.092451480105822,8.0,18.0,31.0,46.0,140.0
2014-01-05,CUA,O3,1,115.0,24.295652173913044,19.529093866495106,1.0,10.0,18.0,35.5,87.0
2014-01-05,CUA,PM10,2,113.0,36.60176991150443,28.696235387431436,1.0,19.0,28.0,47.0,124.0
2014-01-05,CUA,SO2,1,115.0,4.6173913043478265,6.522004062760202,1.0,2.0,3.0,5.0,49.0
2014-01-05,CUT,NO,1,114.0,17.780701754385966,27.016795422503627,0.0,2.0,5.0,21.5,142.0
2014-01-05,CUT,NO2,1,114.0,20.49122807017544,9.64341731926714,5.0,13.0,18.5,26.75,44.0
2014-01-05,CUT,NOX,1,114.0,38.219298245614034,30.865898578826506,6.0,18.0,28.5,43.0,158.0
2014-01-05,CUT,O3,1,114.0,20.57017543859649,22.830258332839126,0.0,1.25,12.5,31.5,86.0
2014-01-05,CUT,PM10,2,112.0,61.24107142857143,37.79180652314916,4.0,35.0,54.5,78.25,172.0
2014-01-05,CUT,SO2,1,114.0,7.2105263157894735,14.993493387744149,0.0,2.0,2.5,7.0,131.0
2014-01-05,FAC,CO,15,115.0,1.0147826086956524,0.5270313213936882,0.3,0.7,0.9,1.3,2.8
2014-01-05,FAC,NO,1,114.0,29.614035087719298,34.182360708031545,1.0,8.0,17.0,35.25,144.0
2014-01-05,FAC,NO2,1,114.0,28.63157894736842,12.687017375027242,6.0,20.25,26.0,36.0,79.0
2014-01-05,FAC,NOX,1,114.0,58.35964912280702,40.599081726609754,8.0,32.0,44.5,76.5,192.0
2014-01-05,FAC,O3,1,115.0,21.721739130434784,24.961214765370077,1.0,3.5,13.0,30.0,106.0
2014-01-05,FAC,PM10,2,105.0,42.40952380952381,29.46239299060075,4.0,22.0,36.0,52.0,153.0
2014-01-05,FAC,SO2,1,115.0,4.695652173913044,7.477655502079539,0.0,2.0,3.0,4.0,58.0
2014-01-05,HGM,CO,15,110.0,1.008181818181818,0.4934677551314391,0.3,0.6,0.9,1.3,2.3
2014-01-05,HGM,NO,1,98.0,31.877551020408163,35.10375352389603,1.0,6.25,18.0,46.0,150.0
2014-01-05,HGM,NO2,1,98.0,36.86734693877551,14.88903128757933,11.0,26.0,36.0,44.0,76.0
2014-01-05,HGM,NOX,1,98.0,68.8061224489796,43.75650953946894,12.0,37.5,54.0,96.0,219.0
2014-01-05,HGM,O3,1,78.0,20.474358974358974,27.078876781830658,0.0,1.0,8.5,29.5,98.0
2014-01-05,HGM,PM10,2,114.0,53.54385964912281,30.305272870118483,4.0,37.25,46.0,66.0,147.0
2014-01-05,HGM,PM2.5,2,114.0,34.96491228070175,25.42590478356735,1.0,20.25,29.0,42.0,116.0
2014-01-05,HGM,PMCO,2,114.0,18.517543859649123,7.713030528377781,2.0,13.0,17.5,24.0,40.0
2014-01-05,HGM,SO2,1,110.0,3.381818181818182,4.733216254665303,0.0,1.0,2.0,3.75,23.0
2014-01-05,IZT,CO,15,114.0,0.9035087719298239,0.508499410387908,0.1,0.6,0.8,1.175,3.1
2014-01-05,IZT,NO,1,114.0,30.70175438596491,34.11898229207759,1.0,7.0,19.5,39.0,215.0
2014-01-05,IZT,NO2,1,114.0,35.68421052631579,14.130438988523458,12.0,25.0,33.5,43.75,76.0
2014-01-05,IZT,NOX,1,114.0,66.34210526315789,41.30950070656857,13.0,37.25,58.5,87.75,267.0
2014-01-05,IZT,O3,1,114.0,21.17543859649123,26.64756729471351,1.0,1.0,8.0,33.0,105.0
2014-01-05,IZT,PM10,2,114.0,48.6140350877193,31.356220190512847,1.0,35.25,43.0,53.75,169.0
2014-01-05,IZT,SO2,1,114.0,5.0964912280701755,5.410526119454821,1.0,2.25,3.0,5.0,33.0
2014-01-05,LLA,CO,15,0.0,,,,,,,
2014-01-05,LLA,NO,1,0.0,,,,,,,
2014-01-05,LLA,NO2,1,0.0,,,,,,,
2014-01-05,LLA,NOX,1,0.0,,,,,,,
2014-01-05,LLA,O3,1,0.0,,,,,,,
2014-01-05,LLA,SO2,1,0.0,,,,,,,
2014-01-05,LPR,CO,15,0.0,,,,,,,
2014-01-05,LPR,NO,1,0.0,,,,,,,
2014-01-05,LPR,NO2,1,0.0,,,,,,,
2014-01-05,LPR,NOX,1,0.0,,,,,,,
2014-01-05,LPR,O3,1,0.0,,,,,,,
2014-01-05,LPR,SO2,1,0.0,,,,,,,
2014-01-05,MER,CO,15,115.0,1.3826086956521741,0.6885352963426689,0.4,0.9,1.2,1.9,3.5
2014-01-05,MER,NO,1,115.0,50.37391304347826,54.51274772361358,1.0,10.5,29.0,76.0,245.0
2014-01-05,MER,NO2,1,115.0,41.165217391304346,16.219941394956862,15.0,27.5,41.0,53.0,85.0
2014-01-05,MER,NOX,1,115.0,91.56521739130434,62.67139732537869,16.0,45.5,67.0,128.0,309.0
2014-01-05,MER,O3,1,115.0,18.965217391304346,25.77634249053128,1.0,1.0,6.0,27.5,96.0
2014-01-05,MER,PM10,2,115.0,62.65217391304348,29.678997086149412,5.0,47.0,58.0,76.0,159.0
2014-01-05,MER,PM2.5,2,115.0,37.017391304347825,22.939272464600677,1.0,25.0,34.0,44.0,115.0
2014-01-05,MER,PMCO,2,115.0,25.62608695652174,9.60853136044489,3.0,20.0,25.0,32.5,53.0
2014-01-05,MER,SO2,1,115.0,5.269565217391304,5.6480422615498584,0.0,2.0,3.0,6.0,29.0
2014-01-05,MON,CO,15,0.0,,,,,,,
2014-01-05,MON,NO,1,115.0,17.008695652173913,35.930365316714,0.0,1.0,3.0,13.0,200.0
2014-01-05,MON,NO2,1,115.0,16.278260869565216,8.25317358001614,4.0,9.0,16.0,22.0,40.0
2014-01-05,MON,NOX,1,115.0,33.34782608695652,39.86425287790239,6.0,10.0,20.0,38.5,230.0
2014-01-05,MON,O3,1,115.0,25.695652173913043,23.5912464858292,0.0,2.0,20.0,44.5,87.0
2014-01-05,MON,SO2,1,0.0,,,,,,,
2014-01-05,NEZ,CO,15,115.0,1.2365217391304357,0.6905795220520595,0.4,0.8,1.0,1.55,3.9
2014-01-05,NEZ,NO,1,115.0,26.434782608695652,37.564244485522615,1.0,4.0,11.0,31.0,194.0
2014-01-05,NEZ,NO2,1,115.0,29.808695652173913,14.346523297994302,8.0,20.0,27.0,38.0,85.0
2014-01-05,NEZ,NOX,1,115.0,56.30434782608695,45.516562228170734,8.0,30.0,38.0,73.0,229.0
2014-01-05,NEZ,O3,1,115.0,24.017391304347825,25.942913919000993,1.0,2.0,13.0,39.0,91.0
2014-01-05,NEZ,PM2.5,2,115.0,33.07826086956522,25.018641409987186,1.0,17.0,29.0,41.0,125.0
2014-01-05,NEZ,SO2,1,115.0,3.260869565217391,5.916208714456664,0.0,1.0,2.0,2.5,40.0
2014-01-05,PED,CO,15,110.0,0.48999999999999977,0.2847661200340835,0.1,0.3,0.4,0.6,1.6
2014-01-05,PED,NO,1,110.0,10.209090909090909,13.603895458398513,1.0,2.0,4.0,13.0,82.0
2014-01-05,PED,NO2,1,110.0,24.69090909090909,11.359630319725815,8.0,18.0,23.0,29.0,67.0
2014-01-05,PED,NOX,1,110.0,34.9,21.118690361118688,9.0,19.5,29.5,45.5,111.0
2014-01-05,PED,O3,1,110.0,23.763636363636362,22.40450776756594,1.0,8.25,16.0,33.5,91.0
2014-01-05,PED,PM10,2,111.0,48.450450450450454,36.64044926747654,4.0,27.0,38.0,58.0,166.0
2014-01-05,PED,PM2.5,2,111.0,31.315315315315317,29.774297024594272,1.0,15.0,23.0,34.0,131.0
2014-01-05,PED,PMCO,2,111.0,17.054054054054053,8.71345650843133,2.0,11.0,16.0,23.0,41.0
